title,published,link,summary,source,geopolitical_risk_score
The US is the world’s biggest oil producer — so why are gas prices rising here?,2026-03-07 12:32:11+00:00,https://finance.yahoo.com/news/the-us-is-the-worlds-biggest-oil-producer--so-why-are-gas-prices-rising-here-123211515.html,,Yahoo Finance (Global),0.0
Here's the Average 2026 Tax Refund. How Does Yours Compare?,2026-03-08 20:02:00+00:00,https://finance.yahoo.com/news/heres-average-2026-tax-refund-200200344.html,,Yahoo Finance (Global),0.0
Axia Energia (AXIA) Q4 Adjusted Net Income Surges 141% to BRL 1.2B,2026-03-08 22:48:38+00:00,https://finance.yahoo.com/news/axia-energia-axia-q4-adjusted-224838128.html,,Yahoo Finance (Global),0.0
"Morgan Stanley Updates Grainger (GWW) Forecasts, Raises Price Target to $1,190",2026-03-09 01:03:55+00:00,https://finance.yahoo.com/news/morgan-stanley-updates-grainger-gww-010355529.html,,Yahoo Finance (Global),0.0
Baird Raises MSA Safety Target to $205 as 2026 Outlook Meets Expectations,2026-03-09 01:07:47+00:00,https://finance.yahoo.com/news/baird-raises-msa-safety-target-010747717.html,,Yahoo Finance (Global),0.0
Seaport Research Trims Pentair (PNR) Price Target but Maintains Buy Call,2026-03-09 01:09:39+00:00,https://finance.yahoo.com/news/seaport-research-trims-pentair-pnr-010939542.html,,Yahoo Finance (Global),0.0
BMO Capital Boosts Nucor (NUE) Target to $196 Citing South Carolina Mill Expansion,2026-03-09 01:11:41+00:00,https://finance.yahoo.com/news/bmo-capital-boosts-nucor-nue-011141113.html,,Yahoo Finance (Global),0.0
"Argus and Mizuho Lift Lowe’s (LOW) Targets, See Growth and Market Share Gains",2026-03-09 01:13:56+00:00,https://finance.yahoo.com/news/argus-mizuho-lift-lowe-low-011356408.html,,Yahoo Finance (Global),0.0
"Here’s why childcare is getting more unaffordable, forcing families to make ‘heartbreaking choices’",2026-03-08 19:45:27+00:00,https://finance.yahoo.com/news/why-childcare-getting-more-unaffordable-194527773.html,,Yahoo Finance (Global),0.0
Morgan Stanley Lowers Commerce Bancshares (CBSH) Target as Bank Sector Bar Rises,2026-03-09 01:21:27+00:00,https://finance.yahoo.com/news/morgan-stanley-lowers-commerce-bancshares-012127933.html,,Yahoo Finance (Global),0.0
Morgan Stanley Raised MGE Energy (MGEE) Price Target During Utilities Review,2026-03-09 01:26:08+00:00,https://finance.yahoo.com/news/morgan-stanley-raised-mge-energy-012608907.html,,Yahoo Finance (Global),0.0
Goldman Says Hedge Funds Add Short Bets on US Stocks Amid Rout,2026-03-08 20:23:10+00:00,https://finance.yahoo.com/news/goldman-says-hedge-funds-add-202310069.html,,Yahoo Finance (Global),0.0
KeyBanc Lifts Con Edison (ED) Target to $96 on Updated Capital Plan and Guidance,2026-03-09 01:39:27+00:00,https://finance.yahoo.com/news/keybanc-lifts-con-edison-ed-013927670.html,,Yahoo Finance (Global),0.0
Target Gets $145 Price Target (TGT) at Argus with Buy Rating Maintained,2026-03-09 01:42:37+00:00,https://finance.yahoo.com/news/target-gets-145-price-target-014237596.html,,Yahoo Finance (Global),0.0
