title,published,link,summary,source,geopolitical_risk_score
S&P Global Inc. $SPGI Shares Sold by Capital Group Private Client Services Inc. - MarketBeat,2026-03-10 11:15:29,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPYmlMZm1icGhFUjJBMlBTMFBZQjlld0FyODZxWUN4WTNGY0JpQVZIQzBsSEJSZ3JHbVBsSjNCLUZHbzRobjJJaGRIcTJsb0xZblpCZWFWeFRDM0FPOG1LMEthQzQzQ1JGV3FtQ2FYRVVZejZvRzk3RUlMU0hyeUxmSGFtb3FUN3EtWkpPYm1zaWJINmJiNGs5cmRfVnFaZGc1cGdQZWVOaEdHRHRYX21zeHRYQlpyOVJXanFpTVotYUJtX0xTdWp2VGo0YkZ2ODJvRWc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPYmlMZm1icGhFUjJBMlBTMFBZQjlld0FyODZxWUN4WTNGY0JpQVZIQzBsSEJSZ3JHbVBsSjNCLUZHbzRobjJJaGRIcTJsb0xZblpCZWFWeFRDM0FPOG1LMEthQzQzQ1JGV3FtQ2FYRVVZejZvRzk3RUlMU0hyeUxmSGFtb3FUN3EtWkpPYm1zaWJINmJiNGs5cmRfVnFaZGc1cGdQZWVOaEdHRHRYX21zeHRYQlpyOVJXanFpTVotYUJtX0xTdWp2VGo0YkZ2ODJvRWc?oc=5"" target=""_blank"">S&amp;P Global Inc. $SPGI Shares Sold by Capital Group Private Client Services Inc.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
S&P Global Inc. $SPGI Shares Sold by Capital International Investors - MarketBeat,2026-03-10 11:43:42,https://news.google.com/rss/articles/CBMixAFBVV95cUxOVGhlTU1kaGxDOXAtOVQ0Tm9BWlY0bmxjUEtjVEp0Wm85UEpPMEU2QlBmT21HYUktMUxFSm4xS19Pd3dLbDRaVDhydFNvbVRoY1UxZl9qcWFrWHdkQ0hUeU4wQW9XQW9CYk1TZmdPSVNHMnJ5N3pjd3kzMG96MEpfTWcwdkR1Z0ZiX3JQZHJNT1Vock4yMFcxaGRCTFBqZEFuYUFTYXIzUWRfWWpJQXRfanNHUXNCUE9zZkNPNUM5Zl91MkNN?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxOVGhlTU1kaGxDOXAtOVQ0Tm9BWlY0bmxjUEtjVEp0Wm85UEpPMEU2QlBmT21HYUktMUxFSm4xS19Pd3dLbDRaVDhydFNvbVRoY1UxZl9qcWFrWHdkQ0hUeU4wQW9XQW9CYk1TZmdPSVNHMnJ5N3pjd3kzMG96MEpfTWcwdkR1Z0ZiX3JQZHJNT1Vock4yMFcxaGRCTFBqZEFuYUFTYXIzUWRfWWpJQXRfanNHUXNCUE9zZkNPNUM5Zl91MkNN?oc=5"" target=""_blank"">S&amp;P Global Inc. $SPGI Shares Sold by Capital International Investors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
S&P Global Inc. $SPGI Shares Bought by Korea Investment CORP - MarketBeat,2026-03-08 12:00:47,https://news.google.com/rss/articles/CBMiugFBVV95cUxOZC1xV0NDRzNXLXliQUxyU1h5UjZ6ZWZwR2pYY281QUYyRjVYOS1ZVXFxRnhNN3NnMGMzamRNbzh2dDlKTnVYTF9sSFI5aC1sazNJaXZOcnVnbnZ6dXh3LU12dHM4cUlhUjZWanFXc1FfeDN1NlQtekZVR0NTYjM5NGRObDh4YzFSMHg4YnliMVlZOHlSNFY2ZUdsRFlVU0ZuZE9mZEtabDk0N3JHbjhRWGxRS3pYZ2ZldHc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOZC1xV0NDRzNXLXliQUxyU1h5UjZ6ZWZwR2pYY281QUYyRjVYOS1ZVXFxRnhNN3NnMGMzamRNbzh2dDlKTnVYTF9sSFI5aC1sazNJaXZOcnVnbnZ6dXh3LU12dHM4cUlhUjZWanFXc1FfeDN1NlQtekZVR0NTYjM5NGRObDh4YzFSMHg4YnliMVlZOHlSNFY2ZUdsRFlVU0ZuZE9mZEtabDk0N3JHbjhRWGxRS3pYZ2ZldHc?oc=5"" target=""_blank"">S&amp;P Global Inc. $SPGI Shares Bought by Korea Investment CORP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
S&P Global Inc. $SPGI Shares Purchased by Vinva Investment Management Ltd - MarketBeat,2026-03-08 13:24:32,https://news.google.com/rss/articles/CBMiywFBVV95cUxONUxHQzF4OTM2dnRaZ1gxZ3ZoTTRoS1hjWExFZHl0ZzlqT1dVd1JlMjUyQ2NYMTA2SlZNd3Q5RU5xSW5KVjFvekRLWnJPbm8xTXlZYjBoTDFXSjNwZTBSV1RpUXRSQWdDSThXTEprRkpZUG0xeGNQRXFMRDJzZjN4Z2JNSUhyNERNTXZnVEdYby1TTFNsMGNES1M0M29SMExxMkU1bkxlbUlITGowUm9NZUtDRWNXajFsVG9KVnh3cWIxQXRxUzVJVVg4SQ?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxONUxHQzF4OTM2dnRaZ1gxZ3ZoTTRoS1hjWExFZHl0ZzlqT1dVd1JlMjUyQ2NYMTA2SlZNd3Q5RU5xSW5KVjFvekRLWnJPbm8xTXlZYjBoTDFXSjNwZTBSV1RpUXRSQWdDSThXTEprRkpZUG0xeGNQRXFMRDJzZjN4Z2JNSUhyNERNTXZnVEdYby1TTFNsMGNES1M0M29SMExxMkU1bkxlbUlITGowUm9NZUtDRWNXajFsVG9KVnh3cWIxQXRxUzVJVVg4SQ?oc=5"" target=""_blank"">S&amp;P Global Inc. $SPGI Shares Purchased by Vinva Investment Management Ltd</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
"Gabelli Funds LLC Sells 3,630 Shares of S&P Global Inc. $SPGI - MarketBeat",2026-03-07 11:20:43,https://news.google.com/rss/articles/CBMiugFBVV95cUxOTTRIVjYwamZ1X3F0d1FBV0prNk9EU1dERFYyWnY1RF9lZW9BZGhhd05zLWlhTVVZV1BqMVZwLWpPYXk2aE9YdkRyR3k0RWRoX0xKY1ZwMS01bFRaQlVIbl9MX1JqWnBfRGo1N29hTXpVQi1jSjhSV1ozSkZXQlZYMDVFVXFnc2xGVlhITnhiTHprTWNLMlhzU2E0d3VTUGJiZzRKd2tLYnJOZE1ZQzR0N3kzOHhsX29makE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOTTRIVjYwamZ1X3F0d1FBV0prNk9EU1dERFYyWnY1RF9lZW9BZGhhd05zLWlhTVVZV1BqMVZwLWpPYXk2aE9YdkRyR3k0RWRoX0xKY1ZwMS01bFRaQlVIbl9MX1JqWnBfRGo1N29hTXpVQi1jSjhSV1ozSkZXQlZYMDVFVXFnc2xGVlhITnhiTHprTWNLMlhzU2E0d3VTUGJiZzRKd2tLYnJOZE1ZQzR0N3kzOHhsX29makE?oc=5"" target=""_blank"">Gabelli Funds LLC Sells 3,630 Shares of S&amp;P Global Inc. $SPGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
S&P Global Inc. $SPGI Shares Sold by Mackenzie Financial Corp - MarketBeat,2026-03-11 10:57:27,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOY19vNE1uQzV0NldtcklQR0xydnpidXU4MTMzM0dIOFdyV1EtX0gwbFkzNFVNTURiWmJZcmJKOVNyeHlxWE9PZWtlTllteUxWaUZCVnlhRFQ4LVBSTTlCcU9odFk5T2h0bWNJb0lfcG5EQm96clMxc0pfTTRXVHV1bk5NUWxMOVRxTHVQb0x4MmtQbXp2U3UteTU2ZVNlTGI1NlI0RkJwdXlxVzEyZ19OT014U3hnUS1aS3Fz?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOY19vNE1uQzV0NldtcklQR0xydnpidXU4MTMzM0dIOFdyV1EtX0gwbFkzNFVNTURiWmJZcmJKOVNyeHlxWE9PZWtlTllteUxWaUZCVnlhRFQ4LVBSTTlCcU9odFk5T2h0bWNJb0lfcG5EQm96clMxc0pfTTRXVHV1bk5NUWxMOVRxTHVQb0x4MmtQbXp2U3UteTU2ZVNlTGI1NlI0RkJwdXlxVzEyZ19OT014U3hnUS1aS3Fz?oc=5"" target=""_blank"">S&amp;P Global Inc. $SPGI Shares Sold by Mackenzie Financial Corp</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
"Triavera Capital LLC Purchases 2,780 Shares of S&P Global Inc. $SPGI - MarketBeat",2026-03-07 13:04:48,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNT2czUGJjdEtxSTVaQW1BOWJ5TnU5WnlMN1k5czBPZXJRYnN6bjRwdlNGQ1NBUDNUdDMyQ1hyY2p6dEEyblVxVnVmSFUzaVVoc2g2TWRqNTVvRzk4NEFsV29zeGdwUXVPdl9VUGdIWVp0X0gybkZBb0dVcThLMGFFWFlBMlhtdThPdWxGN3pYWHFfNkw3aGVrZ1RFeW9TSWtld0NHeUJQVm5YMWw0cFMta0QySUp6UXMyWFo3b3ZLTUVGQW8?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNT2czUGJjdEtxSTVaQW1BOWJ5TnU5WnlMN1k5czBPZXJRYnN6bjRwdlNGQ1NBUDNUdDMyQ1hyY2p6dEEyblVxVnVmSFUzaVVoc2g2TWRqNTVvRzk4NEFsV29zeGdwUXVPdl9VUGdIWVp0X0gybkZBb0dVcThLMGFFWFlBMlhtdThPdWxGN3pYWHFfNkw3aGVrZ1RFeW9TSWtld0NHeUJQVm5YMWw0cFMta0QySUp6UXMyWFo3b3ZLTUVGQW8?oc=5"" target=""_blank"">Triavera Capital LLC Purchases 2,780 Shares of S&amp;P Global Inc. $SPGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
"Goodman Advisory Group LLC Sells 6,050 Shares of S&P Global Inc. $SPGI - MarketBeat",2026-03-08 09:51:57,https://news.google.com/rss/articles/CBMixgFBVV95cUxQdkg2Yzk0Zy1hNHhKZmJrVXFoV2dfSlZQZHViVHllMFJOazJDQ0wwVmk2NTlfZVdDSTR6TnkwX19Va2tGWjdyZUhqOURmdW84ZU84NTRYUlRjNTF4bnlBcHkyclJ0bFVxSGhLZVM5S1BXV3ZSSWVuUGJLU2sxV2diNndJR1dWRVItNV8xQlFUd24wZ185UTh0cUhXSzNYdGNEZmd0TkR0OUtVMTNfaWoxY0FmUU9vbGpzSVNHMXJ5eGY1M2hGbGc?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQdkg2Yzk0Zy1hNHhKZmJrVXFoV2dfSlZQZHViVHllMFJOazJDQ0wwVmk2NTlfZVdDSTR6TnkwX19Va2tGWjdyZUhqOURmdW84ZU84NTRYUlRjNTF4bnlBcHkyclJ0bFVxSGhLZVM5S1BXV3ZSSWVuUGJLU2sxV2diNndJR1dWRVItNV8xQlFUd24wZ185UTh0cUhXSzNYdGNEZmd0TkR0OUtVMTNfaWoxY0FmUU9vbGpzSVNHMXJ5eGY1M2hGbGc?oc=5"" target=""_blank"">Goodman Advisory Group LLC Sells 6,050 Shares of S&amp;P Global Inc. $SPGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
"Pitcairn Co. Sells 3,047 Shares of S&P Global Inc. $SPGI - MarketBeat",2026-03-06 11:52:03,https://news.google.com/rss/articles/CBMisgFBVV95cUxORkx3NDZzMjBfVnNsNDQxRFhZWVVpSzVTQzNYeG1EWmN4ak02b3V4a2xQRFZ2VmpFd25HLU9feTNDc2hPdmwwczlTSnExZ182T1VXWFg0cGRyRTZKYlZtOEJ4MGlVTmEydHBraDdWZEs0WWk1U1B3UGRQT2xJV3hDRG5xUDZ4N2Q0U0gxa1ZMdlFvZGJURjZLNzJqXzViRGhoNWZycTNhMmxUVFVCOGJWbEJ3?oc=5,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxORkx3NDZzMjBfVnNsNDQxRFhZWVVpSzVTQzNYeG1EWmN4ak02b3V4a2xQRFZ2VmpFd25HLU9feTNDc2hPdmwwczlTSnExZ182T1VXWFg0cGRyRTZKYlZtOEJ4MGlVTmEydHBraDdWZEs0WWk1U1B3UGRQT2xJV3hDRG5xUDZ4N2Q0U0gxa1ZMdlFvZGJURjZLNzJqXzViRGhoNWZycTNhMmxUVFVCOGJWbEJ3?oc=5"" target=""_blank"">Pitcairn Co. Sells 3,047 Shares of S&amp;P Global Inc. $SPGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
Rathbones Group PLC Has $304.06 Million Position in S&P Global Inc. $SPGI - MarketBeat,2026-03-08 13:00:21,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOME1EbXBVWmtLOXdJNm94Tk44Z2Q4ZlcxWTlrM2ZiTW51TU8wMW9sa3ZEWkpEanZhd1I5QW9HbHc4dlNSWXVMOHZNWnhpLVRfLS04Y1o0TlZuTDVrbHlUNjFweGNFYnJDaWZaVk8tTUNqV2szZGdWSEs0bjNrbzVneGVpdFR5R3dacy1oeFFlNEppZ08ydXp6UzBlVjh2d3VFMmVSM0d0cndTSEZKaVJDbFp3N1lEcjFBa0ZwYThfVzlpNl93MFVJeA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOME1EbXBVWmtLOXdJNm94Tk44Z2Q4ZlcxWTlrM2ZiTW51TU8wMW9sa3ZEWkpEanZhd1I5QW9HbHc4dlNSWXVMOHZNWnhpLVRfLS04Y1o0TlZuTDVrbHlUNjFweGNFYnJDaWZaVk8tTUNqV2szZGdWSEs0bjNrbzVneGVpdFR5R3dacy1oeFFlNEppZ08ydXp6UzBlVjh2d3VFMmVSM0d0cndTSEZKaVJDbFp3N1lEcjFBa0ZwYThfVzlpNl93MFVJeA?oc=5"" target=""_blank"">Rathbones Group PLC Has $304.06 Million Position in S&amp;P Global Inc. $SPGI</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MarketBeat</font>",Google News Search,0.0
