Price,Close,High,Low,Open,Volume
Ticker,AZRG.TA,AZRG.TA,AZRG.TA,AZRG.TA,AZRG.TA
Date,,,,,
2024-03-11,25332.181640625,26091.947151551398,25052.268031336323,25492.13227450424,61788
2024-03-12,25332.181640625,25482.13535988679,24802.34516590001,25392.163128329714,76577
2024-03-13,25322.185546875,25382.16703652413,25032.275013570863,25292.194802050435,41128
2024-03-14,25072.26171875,25582.10436135616,24882.320342092804,25252.206180846293,132427
2024-03-18,25832.02734375,26061.956379704432,25372.16927184114,25582.10447858214,52216
2024-03-19,26291.88671875,26511.8188509981,25782.0440485385,25951.991605275667,114529
2024-03-20,26781.734375,27211.601705393805,26241.900983342668,26241.900983342668,145916
2024-03-21,26991.669921875,27581.487894241898,26471.83035300926,27571.49097945602,131993
2024-03-25,26991.669921875,27391.546513310182,26601.790245225693,26601.790245225693,71274
2024-03-26,26591.79296875,27381.549226092575,26161.92563880404,27381.549226092575,131641
2024-03-27,26291.88671875,26931.689285289925,26241.90214323907,26411.849699976236,41949
2024-03-28,26541.80859375,26691.762314618645,26211.910407838983,26431.84253177966,182775
2024-04-01,26301.8828125,26691.76248931015,26101.944516699925,26501.82110830008,51550
2024-04-02,25682.07421875,26381.858257408036,25412.157518124754,26301.88293870426,136388
2024-04-03,25912.00390625,25981.982311861015,25382.167406623747,25872.01624590085,48201
2024-04-04,25442.1484375,25892.009608300592,25392.1638629666,25692.071310166993,104669
2024-04-08,26721.75390625,26721.75390625,25852.022297629068,25892.009957795548,87692
2024-04-09,25410.0,25800.0,25300.0,25700.0,67495
2024-04-10,24980.0,25580.0,24820.0,25470.0,42832
2024-04-11,24530.0,24830.0,24310.0,24700.0,181042
2024-04-15,24600.0,25770.0,24400.0,25450.0,94135
2024-04-16,24400.0,24710.0,24210.0,24370.0,53068
2024-04-17,23700.0,24610.0,23700.0,24330.0,137446
2024-04-18,24060.0,24220.0,23600.0,23710.0,74470
2024-04-24,24400.0,25370.0,24180.0,25370.0,63943
2024-04-25,24250.0,24490.0,24180.0,24400.0,124241
2024-04-30,24210.0,24670.0,23750.0,24630.0,155586
2024-05-01,24100.0,24210.0,23910.0,24200.0,48924
2024-05-02,24610.0,24610.0,23630.0,24250.0,237544
2024-05-06,23830.0,24100.0,23410.0,23930.0,140274
2024-05-07,24430.0,24430.0,23830.0,23830.0,80316
2024-05-08,24330.0,24670.0,24200.0,24430.0,61563
2024-05-09,24450.0,24740.0,24210.0,24210.0,67773
2024-05-15,23900.0,24340.0,23790.0,24200.0,160350
2024-05-16,23290.0,23800.0,23160.0,23750.0,161234
2024-05-20,22960.0,23200.0,22610.0,22890.0,182189
2024-05-21,22740.0,23250.0,22740.0,23200.0,104837
2024-05-22,22950.0,23300.0,22750.0,22750.0,155141
2024-05-23,22450.0,22950.0,22190.0,22950.0,190337
2024-05-27,22700.0,22910.0,22540.0,22590.0,60341
2024-05-28,22910.0,23350.0,22570.0,22600.0,140223
2024-05-29,22640.0,23190.0,22640.0,22970.0,120507
2024-05-30,22420.0,22700.0,21920.0,22190.0,361440
2024-06-03,23500.0,23700.0,22670.0,23000.0,130849
2024-06-04,23370.0,23530.0,22870.0,23500.0,72110
2024-06-05,22980.0,23580.0,22680.0,23450.0,72343
2024-06-06,22450.0,22860.0,22140.0,22650.0,85833
2024-06-10,22500.0,22700.0,21600.0,21600.0,74366
2024-06-13,22670.0,22790.0,22500.0,22500.0,75560
2024-06-17,23320.0,23400.0,22370.0,22580.0,75511
2024-06-18,22760.0,23340.0,22600.0,23340.0,76014
2024-06-19,22680.0,22940.0,22580.0,22880.0,27067
2024-06-20,22110.0,22590.0,21870.0,22540.0,125120
2024-06-24,21850.0,22150.0,21760.0,21850.0,49029
2024-06-25,22280.0,22660.0,21660.0,21850.0,93611
2024-06-26,22330.0,22550.0,22110.0,22280.0,40676
2024-06-27,22100.0,22340.0,21960.0,22200.0,201125
2024-07-01,21970.0,22350.0,21970.0,22300.0,68610
2024-07-02,22250.0,22250.0,21790.0,21790.0,74166
2024-07-03,22290.0,22480.0,22050.0,22250.0,62616
2024-07-04,23690.0,23770.0,22750.0,23070.0,116570
2024-07-08,24650.0,24950.0,23670.0,24920.0,108546
2024-07-09,25090.0,25350.0,24320.0,24320.0,110199
2024-07-10,24310.0,25090.0,24310.0,25090.0,69199
2024-07-11,25150.0,25190.0,24730.0,24740.0,67930
2024-07-15,25290.0,25710.0,25120.0,25400.0,74692
2024-07-16,25040.0,25380.0,24850.0,25120.0,93002
2024-07-17,24770.0,25020.0,24690.0,25010.0,30557
2024-07-18,24450.0,25250.0,24450.0,24870.0,51818
2024-07-22,24710.0,25200.0,24500.0,25120.0,38112
2024-07-23,25070.0,25180.0,24750.0,24900.0,50422
2024-07-24,24810.0,25550.0,24810.0,25070.0,32294
2024-07-25,24210.0,24810.0,24120.0,24430.0,147630
2024-07-29,23430.0,23590.0,22800.0,23420.0,60079
2024-07-30,23260.0,23690.0,23110.0,23550.0,66018
2024-07-31,23210.0,23400.0,22900.0,23190.0,136802
2024-08-01,22510.0,23040.0,22450.0,22830.0,102776
2024-08-05,23160.0,23230.0,22210.0,22210.0,97584
2024-08-06,23580.0,23630.0,22960.0,23100.0,92981
2024-08-07,24470.0,24540.0,23550.0,23560.0,73544
2024-08-08,24220.0,24930.0,24220.0,24570.0,74488
2024-08-12,23510.0,23890.0,23400.0,23740.0,63257
2024-08-14,24150.0,24150.0,23640.0,23990.0,63054
2024-08-15,24430.0,24750.0,24140.0,24150.0,48675
2024-08-19,24500.0,24620.0,24020.0,24440.0,94554
2024-08-20,24620.0,24890.0,24410.0,24890.0,73440
2024-08-21,23870.0,24620.0,23760.0,24620.0,62003
2024-08-22,23700.0,24070.0,23540.0,23770.0,44583
2024-08-26,24590.0,24800.0,24140.0,24150.0,47848
2024-08-27,24420.0,24950.0,24390.0,24710.0,44362
2024-08-28,24740.0,24740.0,24490.0,24500.0,25459
2024-08-29,24700.0,24760.0,24460.0,24700.0,211729
2024-09-02,24970.0,24990.0,24400.0,24740.0,62660
2024-09-03,24550.0,24970.0,24480.0,24970.0,47731
2024-09-04,24410.0,24720.0,24340.0,24550.0,38061
2024-09-05,24410.0,24410.0,24410.0,24410.0,0
2024-09-09,24660.0,25480.0,24660.0,24820.0,96503
2024-09-10,24680.0,25230.0,24660.0,24660.0,56172
