Price,Close,High,Low,Open,Volume
Ticker,CAMT.TA,CAMT.TA,CAMT.TA,CAMT.TA,CAMT.TA
Date,,,,,
2024-03-11,26668.85546875,27448.821995395105,25818.89194612392,27298.82843257874,126900
2024-03-12,27428.822265625,27778.80723802634,27198.83214090412,27498.819260105265,73640
2024-03-13,27498.8203125,27858.80486931818,26918.84519318182,27428.82331534091,56076
2024-03-14,27408.82421875,28198.79033085553,27378.82550563207,27568.817355378967,191788
2024-03-18,28838.76171875,28948.756995763262,28048.79563838202,28098.793491569868,61095
2024-03-19,28258.787109375,28948.75749527269,27788.80728129976,28838.762216361465,86203
2024-03-20,28898.759765625,28898.759765625,28258.78723102292,28258.78723102292,59243
2024-03-21,30498.69140625,30498.69140625,29718.72487192623,29888.717578125,114756
2024-03-25,32068.623046875,32478.60544317119,30548.688309386693,30698.68186900725,119498
2024-03-26,32878.58984375,33118.579550638686,31888.63230283417,32068.624583000685,80782
2024-03-27,31498.6484375,33058.58150297619,31088.66602926587,32858.5900843254,65601
2024-03-28,30598.6875,32348.612438725493,30418.695220588237,32348.612438725493,163314
2024-04-01,30678.68359375,31418.651842099902,30578.68788451353,30798.678444833768,60470
2024-04-02,30048.7109375,31298.657315931778,29998.713082362727,31138.664179492513,64147
2024-04-03,30998.669921875,31138.663915070563,30108.70810798891,30298.699955897177,76852
2024-04-04,30370.0,30880.0,29130.0,30070.0,88419
2024-04-08,29640.0,29980.0,29090.0,29520.0,79442
2024-04-09,29330.0,29920.0,29260.0,29640.0,61686
2024-04-10,29860.0,30320.0,29110.0,29640.0,54918
2024-04-11,29630.0,30420.0,29630.0,29860.0,52194
2024-04-15,29700.0,30390.0,29570.0,29980.0,72200
2024-04-16,30750.0,30750.0,29410.0,29410.0,76975
2024-04-17,30620.0,31640.0,30620.0,31200.0,76818
2024-04-18,30800.0,30900.0,29740.0,30840.0,84441
2024-04-24,28800.0,29600.0,28710.0,29600.0,58780
2024-04-25,29450.0,29650.0,29190.0,29370.0,105978
2024-04-30,31050.0,31300.0,30700.0,31080.0,109020
2024-05-01,30030.0,30500.0,29920.0,30170.0,119668
2024-05-02,29920.0,30490.0,29740.0,29900.0,177506
2024-05-06,31740.0,31820.0,30850.0,30850.0,39321
2024-05-07,31100.0,31900.0,31030.0,31700.0,54372
