Price,Close,High,Low,Open,Volume
Ticker,DANE.TA,DANE.TA,DANE.TA,DANE.TA,DANE.TA
Date,,,,,
2024-03-11,33686.0078125,34025.86664502967,33416.11991607938,33656.02026845326,2966
2024-03-12,33056.26953125,33735.98719926482,32996.294442895756,33256.18649243083,4232
2024-03-13,33915.91015625,34305.74820402299,33286.17177138594,33056.26728167367,3787
2024-03-14,34265.76953125,34285.76122875948,33656.022757210834,33915.914824834086,10377
2024-03-18,34885.5078125,34955.47874507521,34385.715436962746,34685.5908622851,2647
2024-03-19,34035.859375,34895.50222558737,34035.859375,34885.50637848752,4783
2024-03-20,33815.953125,34445.69153672776,33356.14412596069,34035.86177671445,8049
2024-03-21,33845.94140625,34185.800239035736,33735.98707799579,33965.89158252732,5204
2024-03-25,33266.1796875,33995.87653761644,33006.287658691406,33845.938828688406,4617
2024-03-26,31926.73828125,33865.9327792345,31926.73828125,33266.181903569195,21322
2024-03-27,31586.876953125,32906.32877521757,31446.93509320609,32906.32877521757,8183
2024-03-28,31426.943359375,32486.503154570215,30817.196684781527,32486.503154570215,10016
2024-04-01,34085.8359375,34085.8359375,32756.38837747434,33176.2139227456,8225
2024-04-02,34765.55859375,35325.32606967007,33056.26862263693,33056.26862263693,11522
2024-04-03,35295.33203125,35735.14925282321,34555.63943133142,34675.58958266957,11840
2024-04-04,35315.33203125,35775.141052885294,34145.81778056893,35295.340334657165,13198
2024-04-08,36334.90625,36774.72354711142,35315.32978851444,35315.32978851444,10609
2024-04-09,35745.1484375,36534.82034090115,35645.18996871504,36334.903403331235,9605
2024-04-10,34305.75,35785.13548951049,34015.87041083916,35305.33479020979,9688
2024-04-11,34425.6953125,34735.56655369846,33785.96113712253,34305.74515461672,65573
2024-04-15,34195.80078125,35685.182341146596,33885.92944999634,34985.47288347705,23164
2024-04-16,33885.92578125,34415.70574184181,33516.07939366704,34065.85105088496,6753
2024-04-17,33865.9296875,34335.734497214435,33636.025206150385,34085.83832183442,5406
2024-04-18,33785.96484375,34315.744765856136,33705.998063054736,33865.931624445264,6520
2024-04-24,33596.04296875,34505.66507828771,33376.13432688374,33765.972373828474,4940
2024-04-25,33586.04296875,33815.94742954799,33266.17589285714,33596.03881487165,3704
2024-04-30,33885.92578125,34395.71404521571,33596.04618017146,33596.04618017146,5149
2024-05-01,33955.89453125,34335.73674266816,33616.03571050743,33885.92359756771,5625
2024-05-02,33586.04296875,35385.29527064732,33586.04296875,33955.88927525112,131664
2024-05-06,33885.92578125,34385.71819690266,33745.98390486726,34255.77216883296,21952
2024-05-07,34665.59765625,34895.50213897599,33875.92573732158,33885.92158439662,9448
2024-05-08,35255.3515625,35375.30172375603,34345.729506308475,34665.59660299121,4601
2024-05-09,35145.40234375,35425.28609392776,34825.53520068971,35385.30270104522,19939
2024-05-15,35675.1796875,35745.150619921544,34715.57832857593,35445.275195257775,12418
