Price,Close,High,Low,Open,Volume
Ticker,DLEKG.TA,DLEKG.TA,DLEKG.TA,DLEKG.TA,DLEKG.TA
Date,,,,,
2024-03-11,45787.13671875,46695.88905057252,45747.19156130725,46086.72539957061,29195
2024-03-12,45018.19921875,46396.30735809949,44848.432274047525,46286.45815858612,33822
2024-03-13,44728.58984375,44728.58984375,42941.04405629047,43240.63273575296,80359
2024-03-14,44129.41015625,45227.90192298173,43979.615824422945,44938.29954811609,40631
2024-03-18,46655.9453125,46885.62997478328,44978.24864886558,45138.02928349743,41203
2024-03-19,46805.7421875,47285.08411730584,46226.53735565127,46895.6187993386,35374
2024-03-20,47055.3984375,47215.17907735569,46266.48152821254,46925.57666761726,36175
2024-03-21,47155.2578125,48103.95529072692,47055.39492005506,47884.256927348055,47444
2024-03-25,47434.8828125,47704.51267269737,46755.81501644737,47484.8142680921,25101
2024-03-26,47085.3515625,47654.57002253446,46705.87258914369,47584.66600112672,22200
2024-03-27,48503.41015625,49382.20366947833,47934.191630636196,47954.1642104823,93956
2024-03-28,48024.06640625,48832.95585913132,46905.601977574595,48832.95585913132,100642
2024-04-01,48333.64453125,48383.57598221203,47934.19292355372,48333.64453125,21826
2024-04-02,47165.24609375,48283.71053637122,46845.684824429656,48163.875060376085,52043
2024-04-03,46186.5859375,47734.46070945946,46066.75047128378,47165.24224493243,40075
2024-04-04,44448.96875,46086.720013760954,44438.982461806336,45946.911979049655,81359
2024-04-08,47055.3984375,47135.28875742784,45637.34525878078,45637.34525878078,49583
2024-04-09,44871.2421875,45500.55836243599,44481.66550777772,45500.55836243599,32993
2024-04-10,44901.20703125,45420.642574214406,44621.510969653784,45280.7945434163,17557
2024-04-11,43632.5859375,44801.31591796875,43622.59679236779,44801.31591796875,59302
2024-04-15,43372.8671875,44951.15208285352,43302.943173148895,44451.69483748849,43865
2024-04-16,43282.96875,43842.36091478191,42853.435480613894,42853.435480613894,24615
2024-04-17,43123.140625,43732.4784934561,43123.140625,43702.51105730252,23964
2024-04-18,43362.875,43402.831576825614,42613.689184519695,43252.99441372956,28224
2024-04-24,44981.1171875,45760.27044990839,44961.138898720295,45380.68296309405,30407
2024-04-25,44571.55859375,45250.820356272416,44221.93856892229,44951.14604927723,58360
2024-04-30,44251.91015625,45250.824606729686,44251.91015625,44791.32395950903,30106
2024-05-01,44042.13671875,44251.90874666875,43552.66865360626,44231.93045829554,19419
2024-05-02,43962.2265625,44441.7055161469,43252.997276897295,44441.7055161469,60681
2024-05-06,43832.3671875,44052.12837212283,43482.74712105458,43852.345477011164,21965
2024-05-07,43912.27734375,44521.61513218693,43572.64644527696,44521.61513218693,25198
2024-05-08,43822.375,44032.14702530202,43402.83094939594,43952.23387280601,34073
2024-05-09,43852.3515625,44072.112777619586,43712.50351651481,44022.16704691059,31124
2024-05-15,42054.30078125,43312.933061163894,42054.30078125,43302.94391608521,62654
2024-05-16,40865.5859375,42333.990027652166,40805.651076677466,42054.29401048033,71979
2024-05-20,41474.9296875,41494.9079773302,40875.58099259393,40875.58099259393,40872
2024-05-21,41155.27734375,41954.40894265776,41105.331618818265,41574.82143317658,28529
2024-05-22,40925.52734375,41434.97374221992,40575.90726636868,41155.277680314866,37636
2024-05-23,40376.125,41444.96353908956,40376.125,41035.40858485898,35607
2024-05-27,42393.9296875,42393.9296875,41205.221479957,41205.221479957,27594
2024-05-28,41175.25390625,42503.81013369572,41005.43844860656,42134.211784707055,52837
2024-05-29,41494.91015625,41654.736483284185,41175.25750218164,41255.17066569872,24868
2024-05-30,42234.1015625,42304.02557170943,41305.11115443176,41454.948317023416,48181
2024-06-03,42034.3203125,43153.104503327,41864.50485496376,42953.32161210789,51305
2024-06-04,40955.48828125,41924.43519912347,40485.99853753811,41854.51119474085,81358
2024-06-05,38309.4375,40257.883069248826,38179.541128716744,39968.11424100157,84323
2024-06-06,37370.19140625,38219.51393821023,36510.876844502,37979.705223303805,105304
2024-06-10,37270.26953125,38069.63188044571,37080.42097331602,37799.847087592156,29185
2024-06-13,35951.3203125,37649.96524110617,35681.535529721375,37649.96524110617,97582
2024-06-17,38229.5078125,38409.364357357554,37020.47214984644,37170.352603894404,59615
2024-06-18,38569.234375,38948.93150097151,38229.505367551814,38459.32204906088,44855
2024-06-19,39568.43359375,39828.22633956755,38399.36623757102,38799.04738498264,30641
2024-06-20,38369.39453125,39948.13524373373,38369.39453125,39648.374348958336,55801
2024-06-24,37570.03125,38319.43346908245,37380.18268783244,37709.91966422872,30004
2024-06-25,38988.89453125,39048.84670121092,37220.305517402936,37220.305517402936,60191
2024-06-26,40327.83203125,40917.36178591892,39868.198663203046,39868.198663203046,82378
2024-06-27,39758.28515625,40167.958363439306,38968.91483020232,40078.030098446536,83796
2024-07-01,39518.47265625,39768.27336836283,39238.695858683626,39468.51251382744,25234
2024-07-02,39528.46484375,39528.46484375,38669.150390625,39268.67210210756,45380
2024-07-03,40357.80859375,41157.17098233628,39928.15130988487,39968.11942931419,81085
2024-07-04,41466.91796875,41716.71867940512,40967.31654743976,40967.31654743976,63283
2024-07-08,42396.17578125,42965.72139037827,42106.406962570705,42965.72139037827,37311
2024-07-09,42336.2265625,43235.509165904536,42166.36207074581,42166.36207074581,54872
2024-07-10,42136.38671875,42655.97223199994,42086.4265732452,42645.98020289898,29961
2024-07-11,43215.5234375,43345.419808526014,42596.01766799133,42735.9060675578,49194
2024-07-15,42665.96484375,43924.960527663934,42496.10034671399,43845.02429376463,43460
2024-07-16,42965.72265625,43605.2124818314,42566.041515261626,42566.041515261626,29899
2024-07-17,43045.66015625,43045.66015625,42546.058715253595,42965.723925690574,18506
2024-07-18,44374.60546875,44374.60546875,43125.60171202995,43165.56983224499,44860
2024-07-22,43055.65234375,44074.839287138835,42985.70814175272,43934.95088314429,36045
2024-07-23,42965.72265625,43155.57119821948,42496.09731558866,43035.666855922966,46793
2024-07-24,42506.09375,42965.727109779036,42346.221277033386,42845.82275505407,34990
2024-07-25,42865.8046875,42955.73294908217,41976.51410074301,41976.51410074301,47976
2024-07-29,40217.921875,41317.045205745344,40167.961723602486,40847.4197826087,57061
2024-07-30,39648.37109375,40397.7732691611,39568.43486170615,40257.884863084364,55456
2024-07-31,39108.796875,39968.11126724578,39078.820791549566,39668.35043274144,66340
2024-08-01,38239.4921875,38988.894307714916,37909.755254605436,38769.06968578521,70590
2024-08-05,37130.3828125,37370.191528188916,35401.761653575755,36151.163890103606,75992
2024-08-06,38389.37890625,38908.96446146213,37530.0643341684,37969.713650117126,55464
2024-08-07,39258.6796875,39668.35285298422,38779.062323030674,38858.99855044222,36064
2024-08-08,39738.30078125,40487.70298356173,39628.38845824428,39918.15730980482,64877
2024-08-12,38968.91015625,39918.15283954327,38819.02973257212,39918.15283954327,32705
2024-08-14,39628.38671875,39898.171499739976,39398.57005346224,39668.35483445221,24310
2024-08-15,40427.74609375,40457.722178347445,39848.20845819946,39918.15265559349,25064
2024-08-19,40517.6796875,40977.313045237366,40237.902861051174,40967.32101572133,26170
2024-08-20,40247.890625,41157.16521459161,40247.890625,40517.67539334037,23189
2024-08-21,39318.63671875,40527.672307814486,39258.68454077986,40527.672307814486,33860
2024-08-22,40697.53515625,41337.02502857998,39778.268464775654,40068.03731317518,55372
2024-08-26,43085.62890625,43465.32600700081,42066.44195160308,42066.44195160308,58616
2024-08-27,42985.71484375,43555.26057738406,42705.93799214028,43265.49169535971,39837
2024-08-28,43375.39453125,43765.083632083624,43375.39453125,43685.1474062716,33775
2024-08-29,43545.26171875,43835.03055533645,43355.41317064164,43365.40519948945,70204
2024-09-02,42166.36328125,42306.25169023993,41376.992973378256,41736.70602506665,21556
2024-09-03,41666.7578125,42406.16790317746,41566.83752997602,42406.16790317746,22815
2024-09-04,41157.16796875,41357.00855126396,40767.47883284778,41087.22376487012,30271
