Price,Close,High,Low,Open,Volume
Ticker,ENLT.TA,ENLT.TA,ENLT.TA,ENLT.TA,ENLT.TA
Date,,,,,
2024-03-11,6377.0,6446.0,6195.0,6207.0,192074
2024-03-12,6204.0,6420.0,6204.0,6378.0,248181
2024-03-13,6141.0,6280.0,6115.0,6280.0,159670
2024-03-14,6180.0,6431.0,6100.0,6100.0,523280
2024-03-18,6232.0,6240.0,6119.0,6240.0,343150
2024-03-19,6280.0,6318.0,6167.0,6224.0,350247
2024-03-20,6304.0,6304.0,6204.0,6230.0,316814
2024-03-21,6414.0,6554.0,6391.0,6451.0,420560
2024-03-25,6419.0,6588.0,6372.0,6372.0,203856
2024-03-26,6282.0,6412.0,6253.0,6412.0,270107
2024-03-27,6280.0,6349.0,6239.0,6320.0,173723
2024-03-28,6153.0,6410.0,6153.0,6410.0,568747
2024-04-01,6230.0,6324.0,6207.0,6250.0,111485
2024-04-02,6086.0,6276.0,6021.0,6200.0,334076
2024-04-03,6072.0,6120.0,5936.0,6086.0,219266
2024-04-04,6029.0,6096.0,5929.0,5976.0,372520
2024-04-08,6230.0,6281.0,6125.0,6180.0,390857
2024-04-09,6207.0,6350.0,6197.0,6201.0,206829
2024-04-10,6214.0,6351.0,6166.0,6207.0,221671
2024-04-11,6008.0,6167.0,6001.0,6155.0,326897
2024-04-15,6029.0,6322.0,6029.0,6240.0,355715
2024-04-16,6281.0,6287.0,5900.0,5900.0,343957
2024-04-17,6154.0,6314.0,6154.0,6201.0,236235
2024-04-18,6159.0,6250.0,6064.0,6208.0,1022458
2024-04-24,6100.0,6340.0,6074.0,6340.0,342042
2024-04-25,6020.0,6120.0,6001.0,6120.0,483952
2024-04-30,6035.0,6130.0,6018.0,6118.0,272066
2024-05-01,6090.0,6099.0,6000.0,6010.0,248077
2024-05-02,6389.0,6389.0,6109.0,6141.0,601751
2024-05-06,6425.0,6549.0,6425.0,6480.0,180801
2024-05-07,6529.0,6575.0,6450.0,6559.0,165724
2024-05-08,6683.0,6745.0,6500.0,6529.0,295292
2024-05-09,6754.0,6785.0,6613.0,6720.0,342184
2024-05-15,6751.0,6829.0,6656.0,6708.0,356102
2024-05-16,6757.0,6865.0,6633.0,6750.0,336743
2024-05-20,6683.0,6693.0,6455.0,6655.0,479990
2024-05-21,6664.0,6741.0,6585.0,6693.0,155050
2024-05-22,6551.0,6712.0,6523.0,6697.0,249020
2024-05-23,6416.0,6620.0,6373.0,6600.0,204107
2024-05-27,6321.0,6470.0,6310.0,6465.0,125526
2024-05-28,6386.0,6420.0,6303.0,6317.0,159470
2024-05-29,6244.0,6460.0,6229.0,6386.0,137389
2024-05-30,6410.0,6432.0,6189.0,6190.0,401011
2024-06-03,6555.0,6606.0,6407.0,6500.0,254005
2024-06-04,6541.0,6610.0,6435.0,6466.0,222982
2024-06-05,6395.0,6640.0,6300.0,6569.0,353638
2024-06-06,6305.0,6393.0,6156.0,6270.0,415835
2024-06-10,6325.0,6325.0,6158.0,6291.0,270862
2024-06-13,6314.0,6483.0,6214.0,6434.0,251845
2024-06-17,6390.0,6390.0,6211.0,6300.0,251904
2024-06-18,6186.0,6399.0,6185.0,6399.0,206505
2024-06-19,6187.0,6240.0,6125.0,6188.0,149248
2024-06-20,6019.0,6182.0,5966.0,6173.0,492773
2024-06-24,5993.0,6080.0,5943.0,6061.0,409375
2024-06-25,6012.0,6174.0,5986.0,5993.0,266487
2024-06-26,6050.0,6173.0,6027.0,6064.0,230624
2024-06-27,5985.0,6035.0,5920.0,6013.0,543558
2024-07-01,5595.0,5932.0,5538.0,5874.0,625093
2024-07-02,5500.0,5617.0,5374.0,5500.0,452930
2024-07-03,5550.0,5577.0,5420.0,5511.0,311005
2024-07-04,5746.0,5770.0,5550.0,5616.0,293664
2024-07-08,5770.0,5913.0,5758.0,5900.0,332550
2024-07-09,5810.0,5850.0,5710.0,5710.0,308725
2024-07-10,5944.0,5980.0,5734.0,5790.0,547672
2024-07-11,6010.0,6117.0,5911.0,6030.0,313891
2024-07-15,6012.0,6150.0,5925.0,6150.0,393912
2024-07-16,5978.0,6025.0,5909.0,5952.0,319693
2024-07-17,5955.0,6024.0,5906.0,5978.0,213867
2024-07-18,5991.0,6000.0,5910.0,5990.0,251698
2024-07-22,6080.0,6196.0,6030.0,6030.0,222913
2024-07-23,6015.0,6044.0,5997.0,6020.0,266878
2024-07-24,6101.0,6162.0,6008.0,6020.0,668039
2024-07-25,5930.0,6085.0,5881.0,6049.0,717940
2024-07-29,5777.0,5890.0,5777.0,5890.0,209535
2024-07-30,5730.0,5830.0,5730.0,5784.0,190582
2024-07-31,5793.0,5891.0,5711.0,5730.0,445211
2024-08-01,5625.0,5740.0,5600.0,5740.0,417275
2024-08-05,5597.0,5723.0,5506.0,5506.0,223343
2024-08-06,5700.0,5748.0,5630.0,5695.0,355515
2024-08-07,5920.0,5968.0,5801.0,5801.0,332374
2024-08-08,6170.0,6218.0,5947.0,5947.0,465285
2024-08-12,6019.0,6228.0,6000.0,6222.0,279973
2024-08-14,6041.0,6128.0,5987.0,6067.0,302051
2024-08-15,5999.0,6118.0,5940.0,6070.0,187577
2024-08-19,5987.0,5987.0,5850.0,5961.0,149222
2024-08-20,5946.0,6000.0,5872.0,5998.0,186541
2024-08-21,5789.0,5882.0,5753.0,5865.0,148002
2024-08-22,5799.0,5830.0,5750.0,5750.0,140686
2024-08-26,6037.0,6307.0,6035.0,6150.0,226070
2024-08-27,6024.0,6143.0,5957.0,6053.0,181856
2024-08-28,6067.0,6131.0,5980.0,6000.0,291501
2024-08-29,5995.0,6069.0,5974.0,6031.0,947305
2024-09-02,6029.0,6070.0,5932.0,5944.0,126276
2024-09-03,5934.0,6051.0,5928.0,6029.0,152422
2024-09-04,5919.0,5930.0,5852.0,5930.0,128739
2024-09-05,5919.0,5919.0,5919.0,5919.0,0
2024-09-09,5856.0,5960.0,5800.0,5960.0,244846
2024-09-10,5809.0,5900.0,5750.0,5900.0,183731
2024-09-11,6080.0,6154.0,5842.0,5860.0,329748
2024-09-12,6113.0,6274.0,6096.0,6201.0,253655
2024-09-16,5910.0,6079.0,5849.0,6028.0,214528
2024-09-17,5830.0,5957.0,5800.0,5860.0,341332
2024-09-18,5830.0,5883.0,5754.0,5830.0,167057
2024-09-19,5938.0,6063.0,5860.0,5930.0,618048
2024-09-23,5946.0,6077.0,5872.0,6010.0,247387
2024-09-24,5998.0,6073.0,5960.0,6000.0,256491
2024-09-25,5970.0,6034.0,5931.0,5998.0,154081
2024-09-26,5970.0,5970.0,5970.0,5970.0,0
2024-09-30,6254.0,6254.0,6084.0,6084.0,332935
2024-10-01,6025.0,6245.0,6002.0,6201.0,290260
2024-10-07,5882.0,5966.0,5850.0,5910.0,225033
2024-10-08,5961.0,5961.0,5799.0,5867.0,155763
2024-10-09,5908.0,6025.0,5908.0,5961.0,137316
2024-10-10,5892.0,5980.0,5891.0,5959.0,227966
2024-10-14,5950.0,5952.0,5867.0,5880.0,120113
2024-10-15,5967.0,5970.0,5834.0,5944.0,140902
2024-10-21,6239.0,6295.0,6100.0,6164.0,235987
2024-10-22,6000.0,6150.0,5950.0,6150.0,279282
2024-10-28,5881.0,5964.0,5880.0,5910.0,286590
2024-10-29,5910.0,5929.0,5867.0,5898.0,211622
2024-10-30,6000.0,6050.0,5874.0,5911.0,376219
2024-10-31,5950.0,6039.0,5886.0,5906.0,373477
2024-11-04,5982.0,5982.0,5886.0,5918.0,145175
2024-11-05,6057.0,6096.0,5926.0,5951.0,287260
2024-11-06,5699.0,5918.0,5563.0,5918.0,976662
2024-11-07,5673.0,5715.0,5527.0,5688.0,658795
2024-11-11,5635.0,5776.0,5591.0,5776.0,526406
2024-11-12,5695.0,5738.0,5600.0,5600.0,329402
2024-11-13,5899.0,6048.0,5789.0,5843.0,798224
2024-11-14,6100.0,6104.0,5880.0,5899.0,561491
2024-11-18,6091.0,6172.0,6091.0,6103.0,627354
2024-11-19,6098.0,6098.0,5903.0,6035.0,559989
2024-11-20,6000.0,6109.0,5900.0,6108.0,502873
2024-11-21,5908.0,5983.0,5837.0,5915.0,422119
2024-11-25,5948.0,5977.0,5883.0,5949.0,313378
2024-11-26,6065.0,6065.0,5891.0,5929.0,257446
2024-11-27,5977.0,6086.0,5922.0,6047.0,222895
2024-11-28,6066.0,6066.0,5881.0,5901.0,859050
2024-12-02,5915.0,6038.0,5911.0,5981.0,322361
2024-12-03,5900.0,5947.0,5875.0,5891.0,203687
2024-12-04,5771.0,5939.0,5754.0,5900.0,412479
2024-12-05,5800.0,5814.0,5711.0,5795.0,177123
2024-12-09,5900.0,5900.0,5773.0,5775.0,277736
2024-12-10,5920.0,5986.0,5898.0,5900.0,256280
2024-12-11,5801.0,5945.0,5785.0,5888.0,318863
2024-12-12,5814.0,5885.0,5772.0,5781.0,200386
2024-12-16,5869.0,5878.0,5743.0,5763.0,332148
2024-12-17,5905.0,5959.0,5840.0,5868.0,381247
2024-12-18,5871.0,5985.0,5825.0,5872.0,174360
2024-12-19,5664.0,5799.0,5636.0,5799.0,539429
2024-12-23,6000.0,6028.0,5850.0,5865.0,463238
2024-12-24,6293.0,6300.0,5946.0,5946.0,597443
2024-12-25,6376.0,6441.0,6302.0,6359.0,205883
2024-12-26,6316.0,6316.0,6181.0,6255.0,668342
2024-12-30,6187.0,6267.0,6133.0,6236.0,386164
2024-12-31,6305.0,6337.0,6130.0,6235.0,239444
2025-01-01,6205.0,6344.0,6130.0,6305.0,151239
2025-01-02,6290.0,6299.0,6138.0,6205.0,336263
2025-01-06,6325.0,6408.0,6203.0,6400.0,484166
2025-01-07,6312.0,6395.0,6272.0,6272.0,285429
2025-01-08,6174.0,6321.0,6140.0,6268.0,246221
2025-01-09,6145.0,6190.0,6056.0,6174.0,317711
2025-01-13,6026.0,6096.0,5970.0,6058.0,319753
2025-01-14,6045.0,6074.0,5964.0,6050.0,365973
2025-01-15,6210.0,6226.0,5992.0,6013.0,358672
2025-01-16,6062.0,6240.0,5991.0,6240.0,852315
2025-01-20,6415.0,6479.0,6067.0,6120.0,438779
2025-01-21,6250.0,6366.0,6203.0,6333.0,342361
2025-01-22,5885.0,6221.0,5775.0,6200.0,1519695
2025-01-23,5793.0,5974.0,5781.0,5839.0,543871
2025-01-27,5809.0,5819.0,5565.0,5713.0,379405
2025-01-28,5777.0,5872.0,5770.0,5811.0,210501
2025-01-29,5880.0,5895.0,5770.0,5777.0,140208
2025-01-30,5791.0,5878.0,5786.0,5849.0,359698
2025-02-03,5710.0,5858.0,5634.0,5677.0,198745
2025-02-04,5845.0,5845.0,5707.0,5780.0,299730
2025-02-05,6035.0,6035.0,5825.0,5850.0,478257
2025-02-06,5964.0,6073.0,5922.0,6035.0,388955
2025-02-10,5983.0,6016.0,5844.0,5880.0,262064
2025-02-11,5960.0,5999.0,5903.0,5966.0,131115
2025-02-12,5870.0,5958.0,5841.0,5958.0,109555
2025-02-13,5960.0,5977.0,5892.0,5892.0,234978
2025-02-17,5979.0,6061.0,5913.0,6035.0,174781
2025-02-18,6041.0,6050.0,5921.0,6002.0,311773
2025-02-19,6400.0,6524.0,6312.0,6312.0,884968
2025-02-20,6420.0,6500.0,6309.0,6350.0,515223
2025-02-24,6082.0,6200.0,6063.0,6188.0,262572
2025-02-25,6209.0,6238.0,6022.0,6022.0,342182
2025-02-26,6276.0,6304.0,6126.0,6269.0,202989
