Price,Close,High,Low,Open,Volume
Ticker,ESLT.TA,ESLT.TA,ESLT.TA,ESLT.TA,ESLT.TA
Date,,,,,
2024-03-11,75298.3671875,76848.33357714974,74608.3821495269,76838.3337939907,80763
2024-03-12,73558.4140625,74978.38344761079,73198.4218240212,74568.39228712105,99009
2024-03-13,73098.421875,74188.39834345075,72558.43353283174,73648.4100012825,47659
2024-03-14,73568.4140625,73938.40608646527,72658.43367923406,73378.41815830162,104953
2024-03-18,73548.4140625,73798.40867182189,72498.43670334807,73378.41772816112,119558
2024-03-19,73818.3984375,74458.38455237402,72808.42034996444,73568.40386137734,85312
2024-03-20,74248.3984375,74368.39584911616,73768.40879103536,73818.40771254209,53280
2024-03-21,73678.3984375,74948.37083184886,73358.40539325461,74948.37083184886,68598
2024-03-25,74878.375,74878.375,73258.41015625,73678.40104166667,87969
2024-03-26,75268.3671875,75948.35243643716,73678.40167895575,73678.40167895575,193694
2024-03-27,76898.3359375,76938.33507192782,75288.3707767799,75288.3707767799,79294
2024-03-28,76808.34375,78198.31377750293,76798.34396562948,78198.31377750293,127965
2024-04-01,77148.328125,77828.31338909591,76728.33722658781,77438.32184057032,24138
2024-04-02,76908.3359375,77658.31971013197,76348.3480539348,77148.33074474223,62010
2024-04-03,76398.3515625,76908.34055853239,75018.38133794176,76908.34055853239,69653
2024-04-04,75098.3671875,75738.35327271972,74268.3852332307,75458.3593604361,87471
2024-04-08,76368.3515625,76478.34918816289,74928.38264473125,75998.35954890664,60721
2024-04-09,75498.3671875,76328.34923737583,75008.37778456126,75428.3687013659,50706
2024-04-10,74688.3828125,75398.36743958361,74048.39666977675,75398.36743958361,34293
2024-04-11,73698.3984375,74448.38213937415,72998.41364908413,73898.39409133312,83446
2024-04-15,76428.3515625,77768.3226614631,76108.35846424015,77248.33387679086,95520
2024-04-16,75698.3671875,76528.34928480019,74988.38250185766,75498.37150140357,39871
2024-04-17,74568.390625,76608.3465975761,74568.390625,75898.36192084619,37192
2024-04-18,75548.3671875,76058.35616520517,75098.37691305428,75098.37691305428,38443
2024-04-24,77148.328125,77488.32075704796,76318.34611147115,77488.32075704796,55187
2024-04-25,76068.3515625,76868.3342264937,75568.36239750395,76868.3342264937,78775
2024-04-30,76398.3515625,76878.34120582462,75398.37313890707,76878.34120582462,48094
2024-05-01,74338.3984375,76498.35190299636,74008.40554693805,76298.35621174671,47612
2024-05-02,74778.3828125,74778.3828125,73898.40184332375,74748.38346127809,78694
2024-05-06,74998.375,75398.36633333332,74228.39168333334,74228.39168333334,34745
2024-05-07,74998.375,75498.36416666667,74498.38583333333,74798.37933333333,69170
2024-05-08,74988.375,75448.36503200427,74728.38063408455,74998.37478330445,38549
2024-05-09,74078.3984375,74928.38006104043,74078.3984375,74578.3876278179,67544
2024-05-15,73298.4140625,74288.39264260743,72608.42899151603,74098.39675349591,68841
2024-05-16,74468.3984375,74508.39757725426,72788.43456782094,72848.43327745234,73974
2024-05-20,72318.4453125,73678.41607612002,71878.45477132882,73498.41994564091,82507
2024-05-21,73538.4140625,73998.40414230351,72568.43498117522,73988.40435795995,91199
2024-05-22,73198.4140625,73958.39759648223,72808.422512167,73538.40669612362,67986
2024-05-23,73008.421875,74238.39528831668,72728.42792725311,73478.41171586084,69861
2024-05-27,72568.421875,73768.395779506,72438.42470201185,72518.42296231225,38407
2024-05-28,70998.46875,72498.4363996479,70248.48492517606,72498.4363996479,88614
2024-05-29,71188.4609375,72058.44212889802,71088.46309940827,71488.45445177518,65035
2024-05-30,70298.484375,71368.46130645448,70298.484375,71188.46518714438,205537
2024-06-03,71448.4453125,71708.4396551347,70598.46380773268,71308.44835877362,86806
2024-06-04,71298.453125,72028.43728742987,70708.46592522791,71898.44010781907,32815
2024-06-05,69988.484375,71398.45384162024,69798.48848942707,71298.45600710817,64610
2024-06-06,68768.5078125,69898.48329349644,68028.52386919259,69888.48351047876,117082
2024-06-10,68808.5078125,69198.49935510827,67738.53101611321,67998.52537785206,89688
