Price,Close,High,Low,Open,Volume
Ticker,FIBI.TA,FIBI.TA,FIBI.TA,FIBI.TA,FIBI.TA
Date,,,,,
2024-03-11,15092.001953125,15151.97017280629,14902.10259080091,15002.049623603063,85109
2024-03-12,15062.01953125,15451.813002861645,14802.157216842235,14972.067191647313,388879
2024-03-13,14992.0556640625,15461.806741536459,14992.0556640625,15271.907369791666,255334
2024-03-14,14822.14453125,15151.969729855024,14772.171016309845,14992.054482046527,171025
2024-03-18,15341.869140625,15441.816170857084,15092.001565044788,15341.869140625,191908
2024-03-19,15491.7900390625,15491.7900390625,15151.970128528226,15431.821819556451,207699
2024-03-20,15154.591796875,15244.559690128215,15004.64530811964,15204.573959793453,439977
2024-03-21,14884.6875,15324.53051544661,14814.712474815313,15324.53051544661,201834
2024-03-25,14754.734375,15024.638052591463,14744.737942496611,14884.687997544037,472088
2024-03-26,15184.5810546875,15184.5810546875,14674.762994260205,14804.716617506378,262177
2024-03-27,15004.646484375,15474.478852639906,15004.646484375,15184.582284987091,184940
2024-03-28,15294.5419921875,15374.51345358456,14854.698954503676,15094.613338694853,374166
2024-04-01,15184.5810546875,15444.488301179848,15184.5810546875,15374.513273278062,72369
2024-04-02,14854.6982421875,15174.58407243649,14834.705377796938,15054.62688609312,130751
2024-04-03,14874.6904296875,14954.66188361055,14594.79034095682,14854.697566206736,123048
2024-04-04,14394.86328125,14814.713460286457,14304.895385742188,14764.731296115451,194836
2024-04-08,15194.578125,15264.553155838816,14794.720805921052,14924.67443462171,211469
2024-04-09,14984.65234375,15154.591696547697,14834.705855987324,15124.602398995163,107790
2024-04-10,14714.7490234375,15044.631304533586,14704.752590677013,14854.699082084324,141638
2024-04-11,14284.90234375,14704.752517604094,14254.913045617564,14644.773921339223,266389
2024-04-15,14534.8134765625,15004.645824154273,14414.856281432685,14874.692196096974,159516
2024-04-16,14334.884765625,14514.820557662135,14234.920436715482,14294.899034061193,119869
2024-04-17,13975.0126953125,14484.830755012741,13975.0126953125,14294.898536693045,179993
2024-04-18,14244.916015625,14284.901744791667,13975.01234375,14044.987369791666,174824
2024-04-24,14484.830078125,14894.683793241027,14374.869325288992,14894.683793241027,155864
2024-04-25,14454.841796875,14594.791855765905,14194.934544649032,14484.831095208765,265334
2024-04-30,14904.6806640625,14984.652123024605,14554.805531103286,14554.805531103286,310074
2024-05-01,14554.8056640625,14794.720043140453,14474.834204369849,14774.72717821729,164340
2024-05-02,14754.734375,14754.734375,14514.819994918698,14674.762914972898,498542
2024-05-06,14514.8203125,14754.734697830578,14464.838148889463,14534.813177944214,150209
2024-05-07,14964.6591796875,15004.644908958542,14654.769777836924,14724.744804061247,309998
2024-05-08,14904.6806640625,15004.644987765132,14734.741313768025,14874.69136695171,106736
2024-05-09,15044.6318359375,15134.599733959718,14804.717441211587,14904.681772347385,128150
2024-05-15,14804.716796875,15054.627613837778,14794.72036419649,15014.641883123733,143143
2024-05-16,14514.8203125,14764.731130552685,14364.873821668389,14754.734697830578,219190
2024-05-20,14694.755859375,14794.72018494898,14494.827208227041,14494.827208227041,173780
2024-05-21,14584.794921875,14824.709300302005,14494.827029964874,14764.730705695254,113550
2024-05-22,14434.8486328125,14714.748744806095,14354.877172242903,14574.798688809298,113815
2024-05-23,14524.81640625,14524.81640625,14324.887756473676,14404.859216384206,115177
2024-05-27,14604.7880859375,14674.763114412217,14504.823759545046,14574.798788019763,64498
2024-05-28,14854.6982421875,14924.673267554466,14564.801708524352,14664.766030477162,240611
2024-05-29,15004.646484375,15124.603684783062,14804.717817028231,14834.707117130247,234703
2024-05-30,15054.6279296875,15124.60295990517,14794.720674593294,14884.688570587443,667134
2024-06-03,15394.505859375,15454.484453632305,14944.666402445211,14944.666402445211,359152
2024-06-04,15334.5283203125,15374.514052568857,15144.59609209481,15304.539021120234,180809
2024-06-05,14686.9345703125,15166.834406510594,14616.94917753361,15166.834406510594,182808
2024-06-06,14297.0166015625,14616.949840198864,14107.056241122158,14396.995738636364,289888
2024-06-10,14217.0322265625,14416.99048572653,14197.036400646097,14297.015530228113,131754
2024-06-13,14496.974609375,14546.964176993533,14217.033030711207,14287.018425377155,271623
2024-06-17,14556.9619140625,14586.955654270047,14187.039118169429,14227.030771779491,177422
2024-06-18,14556.9619140625,14716.928528502747,14446.98486663483,14646.94313468514,180861
2024-06-19,14736.923828125,14776.915480304442,14456.982262868893,14556.961393317502,115063
2024-06-20,14297.0166015625,14766.918545809658,14127.052068536932,14696.933149857954,282663
2024-06-24,14416.9912109375,14566.959912854325,14287.018335942917,14416.9912109375,170365
2024-06-25,14386.998046875,14566.960496384208,14307.014735982018,14357.004305290133,248233
2024-06-26,14506.97265625,14516.97056986561,14247.026902244143,14386.997692862682,178158
2024-06-27,14277.0205078125,14466.980864709165,14197.037199645483,14416.99129710478,373968
2024-07-01,14426.9892578125,14516.9704797947,14317.012208723147,14367.001776491035,146379
2024-07-02,14516.970703125,14536.966530539772,14307.014515269886,14307.014515269886,130932
2024-07-03,14386.998046875,14566.960496384208,14267.023080535528,14536.96675479934,121438
2024-07-04,14526.9677734375,14616.94899157992,14436.98655529508,14496.974034056693,201896
2024-07-08,15046.8603515625,15156.837403965947,14896.891643739618,14996.870782288206,210186
2024-07-09,15116.845703125,15196.829013723545,14856.89994367973,14996.870737227184,258491
2024-07-10,14926.8837890625,15116.844131990958,14836.902573991125,15116.844131990958,160123
2024-07-11,15216.82421875,15256.815872412944,14946.880556525131,15116.845084592642,250760
2024-07-15,15326.80078125,15326.80078125,15096.848779965754,15166.83417166096,265405
2024-07-16,15496.765625,15496.765625,15216.824052419353,15246.817792338708,165672
2024-07-17,15546.7548828125,15586.746535244172,15336.79870754622,15406.784099301647,150186
2024-07-18,15526.7587890625,15556.752527869445,15406.783833834714,15506.762963191202,151855
