Price,Close,High,Low,Open,Volume
Ticker,HLAN.TA,HLAN.TA,HLAN.TA,HLAN.TA,HLAN.TA
Date,,,,,
2024-03-11,19987.181640625,20157.157672586294,19817.205608663706,19897.19432958667,8493
2024-03-12,19967.185546875,20147.16017874468,19737.21796170819,19797.20950566475,12320
2024-03-13,20197.15234375,20197.15234375,19907.193225943687,19967.18476755879,14388
2024-03-14,20327.1328125,20327.1328125,19907.192046083375,19907.192046083375,27474
2024-03-18,20947.046875,20957.045465393796,20237.14695704057,20577.099030429596,12032
2024-03-19,22726.796875,23046.75178041135,21676.944841619006,21676.944841619006,77330
2024-03-20,22946.765625,23026.754350490195,22396.843137254902,22736.795220588236,42950
2024-03-21,22576.818359375,23146.738043380483,22506.828222742748,23046.752133905837,24025
2024-03-25,22686.802734375,22706.799916159376,22466.83373474686,22556.82105277655,10357
2024-03-26,23336.7109375,23336.7109375,22516.82649153813,22686.80253521315,48706
2024-03-27,22986.759765625,23446.69493274929,22806.785135011145,23406.700570390658,25576
2024-03-28,23376.703125,23546.679152855006,22916.767990804106,23546.679152855006,42133
2024-04-01,22896.7734375,23796.646629366813,22726.797390147378,23776.649447325326,41870
2024-04-02,22686.802734375,22846.78018865001,22376.846416717166,22716.798507051564,37127
2024-04-03,22496.828125,22906.77032638889,22096.88451388889,22896.77173611111,49418
2024-04-04,22078.359375,22958.29398777174,21788.380923063858,22958.29398777174,33017
2024-04-08,22908.296875,22998.290184417285,22268.344452477086,22598.319920340462,33367
2024-04-09,22298.341796875,22988.290489244675,22208.34848917461,22908.29643795544,21741
2024-04-10,21898.373046875,22628.318815104165,21898.373046875,22298.343330836185,18518
2024-04-11,21838.376953125,22038.362090058377,21628.392559344953,21628.392559344953,56583
2024-04-15,21508.400390625,22458.329743070084,21418.407083551254,21798.37882452929,16271
2024-04-16,21448.40625,21708.386931818182,21198.424825174825,21198.424825174825,20338
2024-04-17,21208.423828125,21718.38592865983,21208.423828125,21558.39781868812,21204
2024-04-18,21048.435546875,21498.402102508906,20978.44074933195,21198.42439875297,26492
2024-04-24,20878.447265625,21268.41826340248,20878.447265625,21158.426443516524,37197
2024-04-25,20948.443359375,21218.423297658115,20728.45970595913,20978.441130295345,11238
2024-04-30,21068.43359375,21578.3956788384,20828.451436061343,21578.3956788384,33094
2024-05-01,21348.4140625,21598.39549180328,20768.457146516394,21068.43486168033,32035
2024-05-02,21298.416015625,21568.395936949822,21088.431632372358,21348.412297351817,317277
2024-05-06,21538.3984375,21698.386541028318,21298.41628220752,21378.41033397168,20313
2024-05-07,21748.3828125,21848.37537715517,21528.39917025862,21538.398426724136,193664
2024-05-08,21868.375,21868.375,21418.40843621399,21798.38020118884,34276
2024-05-09,21968.3671875,22038.36198509331,21738.384281121987,21868.37461950956,37503
2024-05-15,22338.33984375,22448.33166930114,21898.372541545436,21998.36511022829,126508
2024-05-16,22028.36328125,22318.341735701317,21998.365510099862,22038.362538300044,51378
2024-05-20,21588.39453125,21858.374453595414,21408.40791635306,21598.393787633162,43300
2024-05-21,21588.39453125,22028.361812109193,21428.406429119383,22028.361812109193,29469
2024-05-22,21208.423828125,21798.379983645686,20408.483278266445,21748.383699279526,68205
2024-05-23,20598.46875,21328.414487257283,20598.46875,21208.423407160197,37310
2024-05-27,20598.46875,20798.453883495145,20298.491049757282,20558.471723300972,23752
2024-05-28,20878.447265625,20948.44206009788,20718.4591639727,20898.445778331537,12579
2024-05-29,20948.443359375,21038.43667213604,20768.456733852923,20878.448560560857,14339
