Price,Close,High,Low,Open,Volume
Ticker,MLSR.TA,MLSR.TA,MLSR.TA,MLSR.TA,MLSR.TA
Date,,,,,
2024-03-11,26451.927734375,27301.668421231338,26052.04976408966,26921.784349460268,73972
2024-03-12,26042.0546875,26591.88693618042,25942.085187739922,26591.88693618042,51486
2024-03-13,26481.919921875,26481.919921875,25812.124287761893,26231.996177802946,62971
2024-03-14,26361.95703125,26971.770978503035,25902.097333321482,26301.975331520192,100700
2024-03-18,27291.671875,27671.555952380953,26811.81830357143,27091.73288690476,45554
2024-03-19,27591.580078125,27631.567875339675,27101.729562245244,27291.671599014946,51371
2024-03-20,27734.078125,27734.078125,27294.172055245133,27344.161381353642,47745
2024-03-21,28004.017578125,28293.955639447966,27754.070973536236,28293.955639447966,52475
2024-03-25,28004.017578125,28473.917194751873,27704.081652618486,28004.017578125,39999
2024-03-26,27754.0703125,28074.0019587536,27494.125849918946,28004.016911135626,31702
2024-03-27,27464.134765625,27954.03014367947,27224.186009026893,27734.07711679787,23923
2024-03-28,27204.189453125,27804.061326402287,27034.225755696436,27694.084816301453,103885
2024-04-01,26594.318359375,27034.224377349627,26534.331175105734,26894.254280721336,15906
2024-04-02,26294.3828125,26874.258935361217,25894.468245009506,26594.318738117872,57658
2024-04-03,26484.34375,26854.264746130615,26054.435565307664,26854.264746130615,80424
2024-04-04,25794.4921875,26254.393986191862,25754.500726744187,26214.402525436046,89759
2024-04-08,27164.197265625,27564.11183707329,26144.415108431866,26144.415108431866,50843
2024-04-09,26934.24609375,27194.190562360804,26694.297353493876,26794.27599526726,73309
2024-04-10,26534.33203125,27094.212435827998,26294.38328643086,26594.319217454788,35820
2024-04-11,25974.453125,26304.382668158196,25754.50009622787,26194.40615377213,107609
2024-04-15,26084.427734375,26964.239785208654,25894.468314308644,26784.278229356314,73829
2024-04-16,25844.478515625,26134.416572473405,25694.51055518617,25764.49560339096,93275
2024-04-17,25344.587890625,25984.45125354413,25294.59856539694,25844.48114290557,92788
2024-04-18,25984.451171875,26114.423417059446,25114.636915640633,25644.523761392604,43070
2024-04-24,26144.41796875,27244.183160552104,26014.44571880975,27244.183160552104,37449
2024-04-25,25604.53125,26144.415938598202,25544.544062377976,26004.445834146816,100193
2024-04-30,25714.5078125,26094.426668205677,25324.59109217049,26084.428803581843,113450
2024-05-01,25654.51953125,25794.489630017535,25504.55156828478,25714.506716436088,27252
2024-05-02,25634.52734375,25774.4974618516,25414.574301018914,25774.4974618516,131587
2024-05-06,25444.5625,25714.50481335953,25414.56890962672,25694.509086444006,66559
2024-05-07,25814.486328125,25984.450025870206,25554.541849220564,25844.47992184474,96544
2024-05-08,26284.3828125,26444.34862649772,25834.47896063142,25864.47255075599,56125
2024-05-09,26374.3671875,26544.33088810178,26194.405622156937,26284.38640482847,47759
2024-05-15,25894.470703125,26504.340476441845,25744.502726079874,26324.378903987694,82470
2024-05-16,25424.5703125,25864.47636588183,25094.640772463623,25694.51266343885,98405
2024-05-20,25094.638671875,25344.585272192482,24694.72411136703,25084.640807862303,106966
