Price,Close,High,Low,Open,Volume
Ticker,MZTF.TA,MZTF.TA,MZTF.TA,MZTF.TA,MZTF.TA
Date,,,,,
2024-03-11,13585.150390625,13605.128552964155,13445.303254250919,13555.18314711627,337550
2024-03-12,12825.978515625,13195.57446973569,12756.054956739194,12925.869314033294,3017950
2024-03-13,12885.9140625,13125.651998546511,12845.95773982558,12925.870385174418,800815
2024-03-14,12706.111328125,12985.805602643475,12606.220515796975,12885.914790315448,770610
2024-03-18,13215.5537109375,13235.53187225411,13035.75025908801,13185.586468962585,550497
2024-03-19,13256.3232421875,13256.3232421875,12996.591211820602,13196.3850813336,512480
2024-03-20,13336.2412109375,13336.2412109375,13086.498866163389,13276.303048191712,367304
2024-03-21,13446.126953125,13645.920815727153,13346.230021823922,13566.003270686293,910471
2024-03-25,13556.0146484375,13665.901281549373,13366.210463971536,13446.128015325627,527895
2024-03-26,13785.77734375,13835.725812386776,13486.086531929348,13556.014388020832,520430
2024-03-27,13526.044921875,13965.591433368723,13526.044921875,13795.766644837058,498041
2024-03-28,13775.787109375,13775.787109375,13466.106615980783,13685.879869357324,1169047
2024-04-01,13765.796875,14035.518584452106,13765.796875,13985.570119738752,171515
2024-04-02,13506.0654296875,13795.76653727695,13436.137576131425,13765.79745718149,427086
2024-04-03,13406.1689453125,13566.004044511456,13176.405990214,13566.004044511456,427874
2024-04-04,12996.5927734375,13336.242392420494,12966.62368940959,13326.252697744523,521823
2024-04-08,13835.7255859375,13845.715279501354,13356.220294872519,13356.220294872519,670835
2024-04-09,13536.03515625,13715.849645410517,13456.117605511994,13715.849645410517,361922
2024-04-10,13246.333984375,13536.035104696926,13206.375209158183,13536.035104696926,229469
2024-04-11,12986.6015625,13236.343900240385,12986.6015625,13106.477884615386,310447
2024-04-15,13216.365234375,13615.952996563208,13116.468293827947,13496.076667906746,419669
2024-04-16,13086.4990234375,13216.365044280774,12986.60208432729,13026.560859971374,283088
2024-04-17,12726.8681640625,13196.383708576579,12726.8681640625,13036.548629593064,322231
2024-04-18,13056.5302734375,13166.416909250669,12806.78791931666,12806.78791931666,361081
2024-04-24,13456.1171875,13725.838912861915,13456.1171875,13695.869832266146,369502
2024-04-25,13326.251953125,13416.159200185064,13206.375623711581,13386.19011783171,581139
2024-04-30,13655.91015625,13675.889541994331,13376.198755829371,13506.06476316752,509834
2024-05-01,13536.03515625,13605.963013145758,13386.189748616236,13536.03515625,277908
2024-05-02,13715.8486328125,13715.8486328125,13456.116612089174,13625.94139486981,1572070
2024-05-06,13246.333984375,13536.035104696926,13246.333984375,13436.138166654882,339483
2024-05-07,13635.9306640625,13635.9306640625,13346.229573031136,13386.188344207876,783053
2024-05-08,13506.0654296875,13695.869603625415,13396.178802670811,13585.982976608728,420560
2024-05-09,13536.03515625,13665.901176199262,13416.15883014299,13436.13821782749,248621
2024-05-15,13476.09765625,13745.819403261676,13446.128573248703,13645.922459924019,528599
2024-05-16,13316.259765625,13526.043302817892,13276.300996635879,13526.043302817892,501283
2024-05-20,13556.0146484375,13645.92189371085,13286.292912617446,13486.086791002672,554510
2024-05-21,13516.0546875,13655.910390105322,13336.24021272173,13625.94131097561,356327
2024-05-22,13316.259765625,13546.022687312454,13286.290688883159,13436.136072592368,306685
2024-05-23,13346.23046875,13566.003724971932,13136.446905992701,13506.065564184131,692464
2024-05-27,13336.2412109375,13436.138148847143,13306.272129564606,13346.230904728463,209546
2024-05-28,13476.09765625,13476.09765625,13316.26254690975,13336.24193557728,848730
2024-05-29,13745.8173828125,13835.724618601245,13436.136903984601,13476.095675446266,745301
2024-05-30,13478.02734375,13597.920841248148,13388.10722062639,13428.071719792439,2098553
2024-06-03,13877.669921875,14027.536767683585,13378.113769179716,13587.927353311734,1198529
2024-06-04,13847.6982421875,13857.689366460361,13657.86688100311,13857.689366460361,460030
2024-06-05,13508.0,13857.689349112426,13498.008875739646,13847.69822485207,381463
2024-06-06,13088.3720703125,13418.07915299976,12968.47858569895,13278.20342095062,771940
2024-06-10,12998.453125,13158.311118850883,12958.488626537279,12988.46200038432,419041
2024-06-13,13218.2568359375,13258.22133128425,12998.452111530376,12998.452111530376,432994
2024-06-17,13318.1669921875,13348.14036126219,13028.424424465493,13068.38891656508,352427
2024-06-18,13188.283203125,13388.105675899622,13068.389719460227,13338.150057705967,402813
2024-06-19,13258.220703125,13358.131936758195,13128.336099401846,13128.336099401846,290125
2024-06-20,12808.62109375,13238.239429967824,12798.62996965191,13178.29268537929,528346
2024-06-24,12768.65625,13038.41659330986,12768.65625,12918.523107394365,453317
2024-06-25,12798.630859375,12888.550982508783,12688.728486655933,12708.710736241219,512696
2024-06-26,12988.4609375,13028.425432692307,12778.647337740384,12798.62958533654,631210
2024-06-27,12748.67578125,12928.516035217475,12688.729029927506,12898.54265955623,1373298
2024-07-01,12938.505859375,13148.319467905407,12858.576865649131,13038.417101532337,529612
2024-07-02,12998.453125,13018.43537423136,12828.604006533436,12838.595131149115,269457
2024-07-03,12988.4609375,13058.398804086539,12768.656213942308,13038.416556490385,293081
2024-07-04,13238.2392578125,13328.159373525943,13098.363522258254,13118.345770194575,516767
2024-07-08,13607.9111328125,13667.857877890969,13488.01764265556,13637.884505351734,268231
2024-07-09,13687.83984375,13697.83096772354,13388.106124543796,13488.017364279196,668170
2024-07-10,13577.9375,13677.848739882265,13448.052888153054,13677.848739882265,292420
2024-07-11,13777.7587890625,13817.723281561593,13587.927449691806,13737.794296563407,549528
2024-07-15,13907.64453125,13907.64453125,13697.830928407866,13697.830928407866,552559
2024-07-16,13957.6015625,14027.53943718683,13797.74356321582,13817.725813126342,361637
2024-07-17,13967.591796875,13967.591796875,13747.787061874105,13887.66280232922,252469
2024-07-18,13887.6630859375,13967.592082115558,13777.760716192672,13967.592082115558,260280
2024-07-22,13957.6015625,13957.6015625,13807.734688171082,13867.68143790265,271557
2024-07-23,14247.34375,14247.34375,13897.65438727209,13967.592259817673,345626
2024-07-24,14167.4140625,14307.28980077574,14107.467317524683,14107.467317524683,424133
2024-07-25,14067.501953125,14167.413188587536,13917.635099931196,13987.57296475497,836533
2024-07-29,13498.0078125,13707.821405440414,13398.09657776647,13657.86578807365,377832
2024-07-30,13587.927734375,13647.874474379596,13458.043131031709,13557.954364372701,470090
2024-07-31,13647.875,13717.81286603221,13368.123535871156,13507.999267935578,539931
2024-08-01,13388.1044921875,13488.015719741137,13228.24652810168,13468.033474230411,1092775
2024-08-05,13058.3984375,13078.380684535196,12698.71799086649,12798.629226042463,556232
2024-08-06,13038.416015625,13358.131963900862,12928.513658405172,13198.27398976293,515673
2024-08-07,13288.1943359375,13318.167706620065,13118.34523540296,13138.32748252467,291638
2024-08-08,13647.875,13727.803989751099,13348.141288433382,13368.123535871156,430081
2024-08-12,13637.8828125,13747.785164835164,13517.989337225275,13747.785164835164,366713
2024-08-14,13947.609375,14057.511741135386,13767.76913950573,13827.715884670486,365328
2024-08-15,13917.6357421875,14127.44934634108,13847.697874136305,14037.52923027526,497510
2024-08-19,13777.7587890625,13867.67889718546,13677.847557814766,13797.741035312047,250698
2024-08-20,13757.779296875,13907.646173747276,13587.930169753086,13907.646173747276,284559
2024-08-21,13577.9375,13637.884243929358,13448.052888153054,13587.928623988226,510473
2024-08-22,13530.220703125,13530.220703125,13280.401266213534,13350.350708548744,358546
2024-08-26,13750.0625,14029.860283430233,13690.105832122093,13969.903615552326,588309
2024-08-27,13720.08203125,13820.009795497997,13610.161490577204,13790.031466223598,429319
2024-08-28,13849.990234375,13849.990234375,13720.084121065567,13750.062454906205,236713
2024-08-29,13839.998046875,13899.95471711417,13740.07026314305,13849.990825248195,839465
2024-09-02,14099.810546875,14099.810546875,13780.041632984143,13830.005525779588,592216
2024-09-03,13949.91796875,14099.809637468661,13889.961301262536,14029.860192066619,343563
2024-09-04,13909.9462890625,13939.924621582031,13780.040181477863,13919.93906656901,308809
2024-09-05,13909.9462890625,13909.9462890625,13909.9462890625,13909.9462890625,0
2024-09-09,13869.974609375,14209.729030642111,13859.981832278909,14189.743476449928,572910
2024-09-10,13839.998046875,14019.86805759251,13839.998046875,13869.976381994586,194663
2024-09-11,13590.1767578125,13830.00340647978,13590.1767578125,13770.04674431296,425421
2024-09-12,13859.982421875,13859.982421875,13640.141316409066,13740.069091620853,304920
2024-09-16,13630.1484375,13939.924538352272,13490.249553244135,13839.996763883797,383914
2024-09-17,13520.2275390625,13839.996409165973,13280.400886484895,13590.176979397635,611174
2024-09-18,13640.140625,13780.039503205127,13540.21285485348,13660.126179029305,263922
2024-09-19,13470.2646484375,13710.091318736091,13310.380201571774,13710.091318736091,584249
2024-09-23,13520.2275390625,13540.213093443966,13370.335881201496,13380.32865839223,348917
2024-09-24,13899.9541015625,13899.9541015625,13530.221318127697,13670.120209157081,316683
2024-09-25,14019.8671875,14099.809409524234,13760.05496592124,13859.982743451532,255706
2024-09-26,14019.8671875,14019.8671875,14019.8671875,14019.8671875,0
2024-09-30,14539.490234375,14599.44689513531,14219.721376986685,14449.555243234536,529144
2024-10-01,14269.6865234375,14539.491520729387,14109.802080597865,14529.498743051909,360268
2024-10-07,14139.7802734375,14169.758606172703,13959.91027702628,14069.830830388692,289896
2024-10-08,14199.736328125,14269.685768165025,14059.837448044951,14089.815779490677,277825
2024-10-09,14479.5341796875,14539.490842957428,14219.721972184481,14229.714749396137,255945
2024-10-10,14239.7099609375,14569.471665296052,14239.7099609375,14569.471665296052,324910
2024-10-14,14409.5849609375,14489.527179860872,14219.722190994496,14289.671632552445,170240
2024-10-15,14509.5126953125,14519.50547265087,14389.599367252067,14489.52714063576,217942
2024-10-21,14979.171875,15139.056297948633,14889.236887091394,14999.157427868578,267645
2024-10-22,14639.41796875,14929.208495093857,14639.41796875,14919.21571832338,308744
2024-10-28,15029.1376953125,15089.094361650185,14939.202695805976,15039.130473035448,212046
2024-10-29,15308.935546875,15308.935546875,14949.195547078982,14949.195547078982,332211
2024-10-30,15588.7333984375,15588.7333984375,15119.072840920473,15258.97173039363,364847
2024-10-31,15448.8349609375,15598.726632615419,15318.928845483304,15458.82773904936,448805
2024-11-04,15458.826171875,15488.804503171461,15139.05730471275,15438.840617677359,270308
2024-11-05,15598.7255859375,15678.667805468249,15308.935040138533,15478.812256641375,433376
2024-11-06,15688.6611328125,15808.574466311704,15468.820021397292,15598.726132688096,475219
2024-11-07,15638.697265625,16028.415600039934,15578.740598791932,15688.661154652555,836293
2024-11-11,16078.37890625,16258.248900229179,15988.44390926041,16238.263345342602,528083
2024-11-12,16238.2626953125,16278.233803485577,15878.522721754807,15878.522721754807,471315
2024-11-13,16218.27734375,16338.190669766636,16098.364017733365,16218.27734375,531232
2024-11-14,16018.4208984375,16178.305324123714,15878.522025962064,16068.384781464443,476943
2024-11-18,16108.357421875,16238.263530115926,15968.458536077078,16188.299642330954,384902
2024-11-19,15898.509765625,16078.379769258721,15698.654206031977,15988.44476744186,612878
2024-11-20,15888.517578125,15988.44536163522,15728.633124508648,15888.517578125,594173
2024-11-21,15988.443359375,16038.407244873046,15648.688937988281,15688.660046386718,496235
2024-11-25,16188.298828125,16228.269936342593,16068.385503472224,16168.313274016204,686464
2024-11-26,16378.1630859375,16378.1630859375,16108.358080861042,16118.350858826838,575765
2024-11-27,16178.3076171875,16438.119845752586,16008.43039081802,16428.127067730853,668937
2024-11-28,15660.8154296875,15880.686482305959,15480.92093209058,15710.786123464422,1855866
2024-12-02,15840.708984375,16010.609333103312,15700.791050128155,15940.65036597989,360440
2024-12-03,15990.6220703125,16030.598625488283,15750.762739257812,15750.762739257812,426472
2024-12-04,15970.6357421875,16100.559562367998,15860.70020203477,16060.58300231246,454364
2024-12-05,15870.6923828125,16030.598603294236,15730.774439890978,15990.622048173804,538394
2024-12-09,16310.4365234375,16310.4365234375,15950.64748247932,16030.600602692248,689713
2024-12-10,16290.4462890625,16290.4462890625,16170.516623130752,16240.475594924272,301507
2024-12-11,16130.5400390625,16280.45212120992,16020.604512154392,16190.504871921468,290260
2024-12-12,16100.55859375,16180.511709051056,15950.646502560523,16060.582036099473,268270
2024-12-16,15990.6220703125,16060.581041870118,15690.797906494141,15850.704127197267,376488
2024-12-17,15990.6220703125,16060.581041870118,15870.692404785157,15890.680682373048,302083
2024-12-18,15990.6220703125,16030.598625488283,15870.692404785157,15980.627931518555,230590
2024-12-19,15880.6875,16020.60545154185,15760.757827249843,15890.681639395847,962891
2024-12-23,15920.6640625,16070.576153483991,15850.70508670747,16010.611317090395,243968
2024-12-24,15850.7041015625,15980.62790567367,15770.750991340243,15890.680656673629,160997
2024-12-25,15750.763671875,15940.652320203442,15730.775393103586,15850.705065732076,72427
2024-12-26,15350.9970703125,15610.844676971436,15291.032238006592,15510.903289794922,793705
2024-12-30,15670.8095703125,15670.8095703125,15221.073326266542,15221.073326266542,363500
2024-12-31,15750.763671875,15840.710926346368,15600.851581089388,15600.851581089388,309542
2025-01-01,15960.640625,15960.640625,15680.804721743894,15740.769558155916,137050
2025-01-02,15910.6689453125,15960.639639236218,15730.774447187106,15880.686528958267,331419
2025-01-06,16270.4580078125,16270.4580078125,16070.575231303748,16090.563508954623,267692
2025-01-07,16220.48828125,16270.45897835798,16140.535165877234,16240.476560093191,306955
2025-01-08,16110.552734375,16170.517570855305,15890.681667280553,16160.523431441921,353602
2025-01-09,16140.53515625,16250.470689821981,16010.61134384675,16170.517574496904,247763
2025-01-13,16490.328125,16530.304678030305,16250.468806818182,16270.457083333333,713973
2025-01-14,16610.259765625,16610.259765625,16410.37697662831,16420.371116078146,546335
2025-01-15,16830.130859375,16960.05467242243,16500.324257023825,16500.324257023825,413141
2025-01-16,16970.05078125,16970.05078125,16760.173828125,16790.15625,300965
2025-01-20,17149.943359375,17369.814428084934,17050.001964506846,17349.826149111304,302764
2025-01-21,17229.896484375,17299.85546081968,16960.054718088384,17129.95508945403,259900
2025-01-22,16970.05078125,17169.93359375,16900.091796875,17169.93359375,309590
