Price,Close,High,Low,Open,Volume
Ticker,NICE.TA,NICE.TA,NICE.TA,NICE.TA,NICE.TA
Date,,,,,
2024-03-11,86100.0,87310.0,85050.0,85570.0,55543
2024-03-12,88740.0,88830.0,87260.0,87780.0,75658
2024-03-13,88000.0,90100.0,87870.0,88780.0,57056
2024-03-14,87600.0,88700.0,87180.0,87910.0,126257
2024-03-18,87340.0,88100.0,86900.0,88080.0,56024
2024-03-19,88530.0,88530.0,87310.0,87890.0,72974
2024-03-20,90680.0,90680.0,89350.0,90000.0,70397
2024-03-21,91420.0,91500.0,89920.0,91270.0,87529
2024-03-25,97710.0,98410.0,94200.0,95100.0,105824
2024-03-26,96350.0,97550.0,94810.0,95500.0,75833
2024-03-27,94600.0,96810.0,93910.0,96200.0,58272
2024-03-28,95720.0,95800.0,94110.0,94910.0,149366
2024-04-01,95290.0,96300.0,94960.0,95770.0,23667
2024-04-02,93120.0,94410.0,92010.0,94000.0,64504
2024-04-03,93990.0,93990.0,90940.0,92910.0,69604
2024-04-04,94250.0,94350.0,92490.0,92750.0,83968
2024-04-08,90320.0,92190.0,89630.0,91400.0,76075
2024-04-09,90440.0,90440.0,89000.0,89150.0,57709
2024-04-10,90380.0,91250.0,89200.0,90300.0,41321
2024-04-11,90200.0,91510.0,89940.0,90380.0,64220
2024-04-15,87450.0,89300.0,87430.0,88980.0,124332
2024-04-16,86470.0,88020.0,86250.0,87000.0,56442
2024-04-17,87790.0,88320.0,86520.0,86520.0,38676
2024-04-18,88120.0,88500.0,87050.0,88280.0,75586
2024-04-24,86850.0,86850.0,85600.0,85820.0,101316
2024-04-25,86430.0,87360.0,86430.0,87300.0,105603
2024-04-30,83740.0,85000.0,83720.0,84900.0,139470
2024-05-01,83380.0,83880.0,82710.0,83330.0,79411
2024-05-02,82300.0,84000.0,82250.0,83100.0,347431
2024-05-06,83070.0,84120.0,82430.0,82500.0,81454
2024-05-07,82540.0,83150.0,82100.0,83150.0,88878
2024-05-08,82430.0,83290.0,82230.0,82630.0,52279
2024-05-09,82800.0,83570.0,82410.0,82410.0,65315
2024-05-15,83100.0,83450.0,82200.0,82990.0,128009
2024-05-16,74390.0,85090.0,74230.0,83790.0,319004
2024-05-20,72370.0,72710.0,71560.0,71930.0,170209
2024-05-21,73600.0,74380.0,72830.0,74130.0,111799
2024-05-22,73020.0,73850.0,72560.0,73660.0,76075
2024-05-23,72210.0,72550.0,71600.0,72550.0,149796
2024-05-27,70130.0,70730.0,70000.0,70000.0,51252
2024-05-28,70930.0,70930.0,69460.0,70090.0,69375
2024-05-29,70620.0,70770.0,69850.0,70500.0,84350
2024-05-30,70610.0,70880.0,69700.0,70130.0,204965
2024-06-03,66580.0,68200.0,66250.0,67750.0,127076
2024-06-04,65400.0,66350.0,65000.0,65580.0,117413
2024-06-05,61150.0,63380.0,56890.0,63300.0,330780
2024-06-06,62430.0,62830.0,58320.0,60400.0,269383
2024-06-10,66100.0,69970.0,64450.0,64450.0,321849
2024-06-13,64290.0,64980.0,64000.0,64810.0,106010
2024-06-17,62280.0,63200.0,62110.0,62170.0,89089
2024-06-18,61400.0,62800.0,61300.0,62570.0,85330
2024-06-19,62300.0,62680.0,62030.0,62070.0,26425
2024-06-20,59990.0,62200.0,59990.0,62130.0,241978
2024-06-24,61390.0,62810.0,60340.0,62500.0,179601
2024-06-25,61380.0,61390.0,60000.0,60000.0,89803
2024-06-26,61470.0,61470.0,60580.0,60670.0,50256
2024-06-27,61610.0,61610.0,60580.0,61000.0,149317
2024-07-01,64250.0,65220.0,63750.0,64990.0,113364
2024-07-02,63870.0,63870.0,62500.0,63000.0,64322
2024-07-03,64240.0,64310.0,63090.0,63870.0,62374
2024-07-04,63990.0,64230.0,63020.0,63660.0,43226
2024-07-08,63150.0,64080.0,63100.0,63600.0,66255
2024-07-09,63920.0,64270.0,63490.0,64050.0,72015
2024-07-10,62060.0,63770.0,61930.0,63770.0,48100
2024-07-11,63490.0,63680.0,61760.0,62720.0,56531
2024-07-15,64100.0,64100.0,62680.0,62930.0,45894
2024-07-16,64700.0,65560.0,64210.0,64500.0,72709
2024-07-17,66510.0,66510.0,65140.0,65380.0,84579
2024-07-18,65780.0,66300.0,65420.0,66050.0,78106
2024-07-22,65200.0,67220.0,65130.0,65500.0,101484
2024-07-23,66150.0,66900.0,65500.0,65500.0,121050
2024-07-24,66600.0,67400.0,66370.0,66700.0,97173
2024-07-25,66690.0,66800.0,65710.0,66300.0,174878
2024-07-29,67700.0,68150.0,66350.0,66350.0,101375
2024-07-30,67810.0,68810.0,67330.0,67700.0,153202
2024-07-31,68600.0,69210.0,67830.0,68090.0,183739
2024-08-01,68880.0,69300.0,68470.0,69100.0,1115161
2024-08-05,63420.0,64040.0,62100.0,62360.0,134657
2024-08-06,64890.0,65130.0,64020.0,65090.0,147821
2024-08-07,64800.0,65140.0,63780.0,64810.0,100190
2024-08-08,63600.0,63700.0,62440.0,62600.0,100498
2024-08-12,58860.0,59910.0,58100.0,58740.0,116481
2024-08-14,61420.0,61640.0,59700.0,59900.0,160975
2024-08-15,63700.0,66360.0,61670.0,61670.0,213252
2024-08-19,67850.0,67850.0,65520.0,65800.0,116947
2024-08-20,68070.0,68960.0,68070.0,68250.0,58931
2024-08-21,66900.0,67080.0,66170.0,66310.0,81271
2024-08-22,66380.0,67100.0,66000.0,66650.0,64412
2024-08-26,67340.0,67360.0,65600.0,66130.0,86828
2024-08-27,67060.0,67300.0,66080.0,66810.0,65495
2024-08-28,65500.0,67000.0,65350.0,67000.0,43071
2024-08-29,64780.0,64910.0,63790.0,64100.0,219217
2024-09-02,63950.0,63950.0,62840.0,62840.0,37757
