Price,Close,High,Low,Open,Volume
Ticker,NVMI.TA,NVMI.TA,NVMI.TA,NVMI.TA,NVMI.TA
Date,,,,,
2024-03-11,60750.0,62100.0,59870.0,61920.0,57749
2024-03-12,62850.0,62850.0,61180.0,61450.0,43868
2024-03-13,61750.0,63410.0,61580.0,62850.0,23582
2024-03-14,61660.0,62500.0,61470.0,61750.0,61227
2024-03-18,62000.0,63060.0,61550.0,61550.0,36909
2024-03-19,62620.0,63060.0,61600.0,62530.0,53590
2024-03-20,64990.0,65060.0,64170.0,64480.0,37016
2024-03-21,67300.0,67730.0,66200.0,66880.0,65331
2024-03-25,66630.0,66780.0,65720.0,66700.0,44129
2024-03-26,66280.0,66970.0,66020.0,66630.0,35884
2024-03-27,65010.0,66840.0,64440.0,66200.0,29399
2024-03-28,65120.0,66850.0,65000.0,66800.0,112094
2024-04-01,66160.0,66510.0,64720.0,64720.0,18704
2024-04-02,64530.0,66130.0,63580.0,65600.0,44934
2024-04-03,65940.0,65940.0,63800.0,65800.0,42622
2024-04-04,65970.0,66800.0,65420.0,65820.0,66514
2024-04-08,66300.0,67920.0,66130.0,67440.0,58661
2024-04-09,65620.0,66800.0,65620.0,66300.0,49810
2024-04-10,65690.0,65900.0,63750.0,64990.0,24019
2024-04-11,64200.0,65280.0,64180.0,65000.0,38779
2024-04-15,64730.0,65640.0,64410.0,65100.0,61054
2024-04-16,64920.0,65090.0,63300.0,63300.0,28176
2024-04-17,64920.0,66420.0,64920.0,65570.0,48971
2024-04-18,64990.0,65770.0,63370.0,65050.0,60776
2024-04-24,63670.0,64170.0,63410.0,63650.0,46376
2024-04-25,63220.0,64140.0,62600.0,63370.0,92271
2024-04-30,64730.0,65800.0,64730.0,65800.0,40784
2024-05-01,63220.0,63700.0,62760.0,63230.0,35270
2024-05-02,63370.0,64200.0,63200.0,63250.0,77255
2024-05-06,67910.0,67990.0,66200.0,66200.0,19635
2024-05-07,67590.0,68490.0,67140.0,68490.0,38506
2024-05-08,68200.0,68480.0,67320.0,67820.0,19349
2024-05-09,70250.0,71140.0,67880.0,68200.0,63788
2024-05-15,73130.0,73820.0,73050.0,73600.0,51564
2024-05-16,72490.0,74280.0,71710.0,73880.0,95900
2024-05-20,73950.0,74630.0,71850.0,72200.0,55954
2024-05-21,74520.0,75470.0,73970.0,74920.0,45998
2024-05-22,75690.0,75860.0,73920.0,74520.0,52005
2024-05-23,78080.0,78610.0,77080.0,77530.0,87774
2024-05-27,78990.0,79180.0,77980.0,78780.0,17728
2024-05-28,79580.0,80380.0,78320.0,79120.0,40103
2024-05-29,80360.0,80900.0,79920.0,80500.0,33845
2024-05-30,80020.0,80620.0,79000.0,79430.0,103641
2024-06-03,76000.0,77880.0,74730.0,77600.0,72833
2024-06-04,76960.0,79100.0,76500.0,78500.0,54920
2024-06-05,77890.0,78360.0,76890.0,76960.0,49468
2024-06-06,81800.0,82670.0,80020.0,80020.0,101828
2024-06-10,83110.0,83600.0,82010.0,82610.0,71493
2024-06-13,86370.0,87540.0,86000.0,87270.0,54968
2024-06-17,88900.0,89000.0,87190.0,88370.0,77503
2024-06-18,88640.0,89800.0,88210.0,89040.0,44461
2024-06-19,88520.0,89900.0,88030.0,89700.0,32825
2024-06-20,86990.0,89270.0,86110.0,89180.0,156125
2024-06-24,83730.0,85520.0,82800.0,84480.0,55194
2024-06-25,85850.0,86000.0,82710.0,83730.0,41416
2024-06-26,88280.0,88700.0,87170.0,87180.0,59890
2024-06-27,88400.0,88850.0,84430.0,86050.0,160384
2024-07-01,86450.0,88510.0,85360.0,87800.0,55530
2024-07-02,87900.0,88550.0,86450.0,86450.0,70829
2024-07-03,89920.0,90460.0,88630.0,88890.0,53296
2024-07-04,89240.0,89890.0,88420.0,89700.0,36027
2024-07-08,89450.0,89700.0,87520.0,88280.0,36309
2024-07-09,89120.0,90220.0,87930.0,88970.0,57091
2024-07-10,88660.0,90820.0,88360.0,89780.0,31714
2024-07-11,85800.0,89090.0,85470.0,88980.0,51252
2024-07-15,87460.0,87670.0,85370.0,85750.0,43912
2024-07-16,86260.0,87570.0,85970.0,87200.0,34915
2024-07-17,79600.0,86810.0,79100.0,86400.0,68391
2024-07-18,75010.0,78000.0,75010.0,77210.0,72817
2024-07-22,76720.0,77930.0,74360.0,74360.0,53040
2024-07-23,78180.0,78400.0,76730.0,77420.0,60243
2024-07-24,76690.0,78970.0,76690.0,77550.0,41171
2024-07-25,73700.0,76640.0,72500.0,75200.0,171154
2024-07-29,75630.0,77290.0,72100.0,72390.0,102766
2024-07-30,75080.0,76200.0,74700.0,75600.0,60711
2024-07-31,76020.0,77800.0,75300.0,75300.0,105115
2024-08-01,74660.0,77990.0,74660.0,76900.0,233318
2024-08-05,64300.0,65570.0,61110.0,61700.0,125004
2024-08-06,68380.0,69150.0,66640.0,68640.0,136142
2024-08-07,72540.0,72660.0,68920.0,70020.0,74801
2024-08-08,78230.0,81000.0,68760.0,68910.0,113807
2024-08-12,83380.0,84340.0,81920.0,83700.0,92550
2024-08-14,83920.0,85150.0,83650.0,84560.0,65566
2024-08-15,86540.0,86540.0,83700.0,83920.0,54845
2024-08-19,84170.0,86000.0,83980.0,85000.0,35903
2024-08-20,85440.0,86910.0,85440.0,86260.0,36168
2024-08-21,84970.0,85280.0,83900.0,85170.0,50545
2024-08-22,83700.0,85750.0,83700.0,85090.0,34823
2024-08-26,80250.0,83180.0,79960.0,82860.0,48796
2024-08-27,80700.0,81530.0,80000.0,81000.0,38874
2024-08-28,82510.0,83460.0,81750.0,82370.0,31925
2024-08-29,82490.0,83000.0,79710.0,80000.0,145569
2024-09-02,80640.0,80700.0,80030.0,80550.0,15170
2024-09-03,74800.0,81570.0,74420.0,80640.0,76262
2024-09-04,74700.0,74840.0,72950.0,74100.0,50101
2024-09-05,74700.0,74700.0,74700.0,74700.0,0
2024-09-09,74420.0,75050.0,73070.0,73810.0,67327
2024-09-10,74630.0,75040.0,73330.0,73830.0,50658
2024-09-11,74340.0,75420.0,73840.0,74600.0,37096
2024-09-12,75640.0,76400.0,73770.0,76400.0,52934
2024-09-16,73660.0,75890.0,72800.0,75650.0,79979
2024-09-17,71550.0,72180.0,70630.0,70880.0,108557
2024-09-18,72970.0,73920.0,72940.0,73350.0,40186
2024-09-19,75030.0,75220.0,73500.0,73900.0,89708
2024-09-23,77490.0,78370.0,75900.0,76000.0,67906
2024-09-24,75940.0,77250.0,75940.0,77000.0,81355
2024-09-25,76680.0,77140.0,75760.0,75940.0,28632
2024-09-26,76680.0,76680.0,76680.0,76680.0,0
2024-09-30,77890.0,78410.0,77410.0,78410.0,54451
2024-10-01,76000.0,78870.0,76000.0,78200.0,62967
2024-10-07,76000.0,77390.0,75830.0,77390.0,35964
2024-10-08,78100.0,78770.0,75850.0,76340.0,39067
2024-10-09,79500.0,79500.0,77700.0,79120.0,35290
2024-10-10,77670.0,79850.0,76570.0,79760.0,35845
2024-10-14,83280.0,83970.0,80820.0,80820.0,23905
2024-10-15,82500.0,83790.0,82420.0,83280.0,26358
2024-10-21,70890.0,71330.0,70360.0,70470.0,86055
2024-10-22,70550.0,70790.0,70200.0,70650.0,69317
2024-10-28,71200.0,71200.0,69650.0,70060.0,55650
2024-10-29,73100.0,73100.0,70310.0,70620.0,56927
2024-10-30,74070.0,74300.0,72700.0,74200.0,70097
2024-10-31,70200.0,73510.0,69770.0,73510.0,80359
2024-11-04,69210.0,70070.0,68030.0,70070.0,44640
2024-11-05,68750.0,69610.0,68510.0,69000.0,40771
2024-11-06,71130.0,71210.0,69560.0,70000.0,66277
2024-11-07,75500.0,75900.0,71600.0,71900.0,197556
2024-11-11,73360.0,75800.0,73350.0,74910.0,71707
2024-11-12,77100.0,77770.0,74250.0,74600.0,85752
2024-11-13,76190.0,77750.0,76060.0,77100.0,37977
2024-11-14,71530.0,72340.0,70640.0,71260.0,102277
2024-11-18,66760.0,67600.0,65870.0,67580.0,64830
2024-11-19,66500.0,67290.0,65280.0,67290.0,72665
2024-11-20,65940.0,66900.0,65360.0,66500.0,92199
2024-11-21,66000.0,66510.0,63800.0,64410.0,153834
2024-11-25,64660.0,66900.0,64660.0,66820.0,55453
2024-11-26,64500.0,64930.0,63830.0,64000.0,45396
2024-11-27,61920.0,64690.0,61500.0,64000.0,71846
2024-11-28,65150.0,66500.0,63500.0,63500.0,178292
2024-12-02,68160.0,68360.0,66050.0,67000.0,46518
2024-12-03,69000.0,69500.0,67700.0,69000.0,53620
2024-12-04,69810.0,70460.0,68940.0,69010.0,45586
2024-12-05,67390.0,69120.0,67300.0,68650.0,37121
2024-12-09,72090.0,72090.0,68950.0,70090.0,45522
2024-12-10,69990.0,71420.0,69540.0,71000.0,34927
2024-12-11,69000.0,69610.0,68160.0,68710.0,30261
2024-12-12,68460.0,69120.0,67670.0,68710.0,24704
2024-12-16,68350.0,69350.0,68250.0,68460.0,31089
2024-12-17,70820.0,71190.0,67530.0,68090.0,41688
2024-12-18,72800.0,72940.0,70230.0,70750.0,40187
2024-12-19,70480.0,72030.0,70340.0,70530.0,37228
2024-12-23,71360.0,72160.0,70600.0,71500.0,18848
2024-12-24,74430.0,74500.0,72570.0,72680.0,33256
2024-12-25,73600.0,74430.0,73310.0,74430.0,8775
2024-12-26,74280.0,75370.0,74120.0,74220.0,156796
2024-12-30,72070.0,74520.0,71600.0,73000.0,44890
2024-12-31,71910.0,72540.0,71680.0,72000.0,40424
2025-01-01,71110.0,72300.0,71110.0,71910.0,14813
2025-01-02,76010.0,77040.0,72000.0,72000.0,108511
2025-01-06,79530.0,81170.0,74810.0,74810.0,100105
2025-01-07,79640.0,80700.0,78200.0,78490.0,92159
2025-01-08,79000.0,81070.0,78410.0,79500.0,54917
2025-01-09,79760.0,80470.0,79030.0,80000.0,42508
2025-01-13,77950.0,81250.0,77250.0,81250.0,76825
2025-01-14,82060.0,82600.0,79080.0,79300.0,86266
2025-01-15,84450.0,85130.0,82340.0,82630.0,52902
2025-01-16,87000.0,88680.0,86310.0,86320.0,111358
2025-01-20,90200.0,90470.0,87230.0,87230.0,62192
2025-01-21,89500.0,92100.0,89290.0,89800.0,130939
2025-01-22,92940.0,94740.0,91900.0,91900.0,78244
2025-01-23,90600.0,91760.0,89430.0,91750.0,76768
2025-01-27,80100.0,83900.0,80000.0,83860.0,218480
2025-01-28,81570.0,82490.0,79550.0,81220.0,88495
2025-01-29,83740.0,86460.0,83200.0,85600.0,71985
2025-01-30,86130.0,86130.0,83310.0,83350.0,113768
2025-02-03,86690.0,86690.0,83690.0,83690.0,65737
2025-02-04,86240.0,87890.0,85310.0,87890.0,66205
2025-02-05,87290.0,88150.0,85390.0,86240.0,67754
2025-02-06,89180.0,89770.0,87350.0,87350.0,78744
2025-02-10,90700.0,91430.0,89900.0,90000.0,66284
2025-02-11,91840.0,91890.0,89890.0,90620.0,42736
2025-02-12,86680.0,91700.0,86430.0,90740.0,101012
2025-02-13,97440.0,103000.0,88000.0,88000.0,153223
2025-02-17,99020.0,100800.0,96940.0,97000.0,98280
2025-02-18,98500.0,101410.0,96770.0,100200.0,108325
2025-02-19,97280.0,98300.0,96150.0,97370.0,82230
2025-02-20,96940.0,98900.0,96200.0,97000.0,125652
2025-02-24,93980.0,97250.0,92090.0,96300.0,87689
2025-02-25,89810.0,93060.0,89810.0,93000.0,109428
2025-02-26,90060.0,91460.0,88990.0,90540.0,63952
2025-02-27,87960.0,91760.0,87010.0,91300.0,1286996
2025-03-03,85410.0,93270.0,84200.0,89400.0,212157
2025-03-04,78850.0,82860.0,78670.0,82450.0,167266
2025-03-05,81000.0,81970.0,79700.0,80860.0,75314
2025-03-06,79230.0,81840.0,77640.0,81840.0,93105
2025-03-10,79540.0,81870.0,78180.0,81380.0,72872
2025-03-11,77200.0,79440.0,76310.0,78600.0,100617
2025-03-12,78110.0,80330.0,77840.0,77870.0,66592
2025-03-13,81870.0,82690.0,79730.0,81500.0,92558
2025-03-17,76370.0,80270.0,75610.0,79200.0,108703
2025-03-18,72110.0,75280.0,70740.0,75000.0,121048
2025-03-19,72650.0,73370.0,72110.0,72110.0,82154
2025-03-20,72500.0,73140.0,70330.0,71750.0,111265
2025-03-24,74470.0,75770.0,73310.0,74840.0,67155
2025-03-25,74580.0,75130.0,73030.0,74310.0,71580
2025-03-26,73440.0,74030.0,72310.0,74030.0,55592
2025-03-27,71720.0,74100.0,71200.0,73920.0,149352
2025-03-31,68020.0,68750.0,66100.0,68750.0,88529
2025-04-01,66340.0,68840.0,66250.0,68500.0,54617
2025-04-02,69330.0,69650.0,67530.0,68420.0,42631
2025-04-03,65950.0,68780.0,65460.0,68000.0,75507
2025-04-07,66200.0,68120.0,59020.0,59310.0,133864
2025-04-08,66780.0,66780.0,64760.0,65130.0,95749
2025-04-09,65640.0,66300.0,63380.0,64330.0,74194
2025-04-10,67920.0,71170.0,66700.0,71000.0,82470
2025-04-14,68760.0,68860.0,67800.0,68000.0,64215
2025-04-15,68500.0,68780.0,68010.0,68420.0,41810
2025-04-16,67700.0,67700.0,65510.0,66770.0,42620
2025-04-17,64690.0,65880.0,64690.0,65000.0,52886
2025-04-21,63810.0,64680.0,63640.0,64600.0,20828
2025-04-22,65320.0,65920.0,64060.0,64060.0,71919
2025-04-23,66560.0,67870.0,65380.0,65430.0,100422
2025-04-24,69300.0,69600.0,66300.0,66650.0,118360
2025-04-28,70490.0,71800.0,70110.0,71800.0,59929
2025-04-29,69800.0,70950.0,68690.0,70490.0,53345
2025-05-05,71190.0,72600.0,70440.0,72030.0,85617
2025-05-06,71190.0,71190.0,69600.0,70200.0,128892
2025-05-07,69610.0,71040.0,69050.0,70500.0,81841
2025-05-08,66660.0,75030.0,63710.0,72080.0,160862
2025-05-12,69800.0,71420.0,68560.0,68650.0,106139
2025-05-13,69770.0,69770.0,68190.0,69210.0,81800
2025-05-14,70480.0,71830.0,69610.0,71400.0,238591
2025-05-15,69050.0,70150.0,68100.0,69520.0,144373
2025-05-19,67400.0,67400.0,67400.0,67400.0,0
2025-05-20,67300.0,67350.0,65590.0,66000.0,117274
2025-05-21,66660.0,67100.0,65310.0,65780.0,128931
2025-05-22,67750.0,67920.0,65500.0,65650.0,103373
2025-05-26,65830.0,66320.0,65170.0,66090.0,56071
2025-05-27,68910.0,68950.0,64400.0,64950.0,162180
2025-05-28,70090.0,71340.0,68600.0,70000.0,195336
