Price,Close,High,Low,Open,Volume
Ticker,STRS.TA,STRS.TA,STRS.TA,STRS.TA,STRS.TA
Date,,,,,
2024-03-11,6827.0703125,6874.036399251683,6796.09268081272,6810.082578994072,164927
2024-03-12,6796.0927734375,6882.030720579924,6788.098545796344,6827.070405546978,93848
2024-03-13,6703.15966796875,6825.07163569269,6688.170491609249,6814.079573029056,124506
2024-03-14,6828.0693359375,6858.047688063671,6709.155205837023,6731.1393307295475,145816
2024-03-18,6905.013671875,6934.992023561867,6813.080060035275,6842.05913333258,59003
2024-03-19,6897.01953125,7076.889643626848,6897.01953125,6944.984894550493,127769
2024-03-20,6968.9677734375,6968.9677734375,6863.044259817716,6933.993028374363,60548
2024-03-21,7099.873046875,7137.845626154557,7006.940155480296,7082.885314039409,119098
2024-03-25,7081.8857421875,7149.836670714204,7015.93337038217,7114.861928090165,68711
2024-03-26,7244.7685546875,7474.602591594828,7180.814735721983,7210.793088362069,357181
2024-03-27,6974.96337890625,7214.790199957468,6929.995849959147,7118.859471536981,409570
2024-03-28,6927.99755859375,7005.941278422152,6915.0069386223495,7004.9419999628135,246280
2024-04-01,6925.99853515625,7009.937920086725,6905.013688923631,6905.013688923631,110814
2024-04-02,6722.39404296875,6772.374667823536,6682.409543084921,6727.392105454228,120779
2024-04-03,6653.42041015625,6747.3839796506445,6598.441725877615,6747.3839796506445,128384
2024-04-04,6507.4775390625,6624.4322045110885,6487.485288558468,6600.441503906251,1724381
2024-04-08,6773.3740234375,6794.365885080385,6616.434867345457,6616.434867345457,165434
2024-04-09,6722.39404296875,6794.366142759642,6698.4033430384525,6725.392880460037,76481
2024-04-10,6751.3828125,6785.369637437075,6682.4095501277025,6697.4037375999405,67342
2024-04-11,6697.40380859375,6757.38055911847,6644.424345630247,6702.4018711374765,111431
2024-04-15,6617.4345703125,6805.361715209592,6604.439608165361,6687.407443412481,110873
2024-04-16,6527.4697265625,6676.4119913799295,6488.484838455925,6572.452289762395,160036
2024-04-17,6497.48095703125,6595.442977614183,6492.482894756611,6517.473206129808,68075
2024-04-18,6551.46044921875,6581.448824787343,6488.484860524703,6554.459286775609,69312
2024-04-24,6880.33251953125,6947.306553936101,6831.3515092948655,6873.335232354623,139175
2024-04-25,6945.3076171875,6981.293667017487,6862.339780079474,6917.318467319732,195304
2024-04-30,6877.333984375,7022.277796545694,6870.336696890898,7015.280509061592,114719
2024-05-01,6977.29541015625,6991.28998547748,6869.337257678188,6869.337257678188,76491
2024-05-02,6897.326171875,7004.284708163496,6897.326171875,6992.2893582993665,557249
2024-05-06,6839.34912109375,6892.328586662,6817.357644820137,6869.3374978304955,73341
2024-05-07,6847.345703125,6963.300754447993,6820.356165317063,6912.320516366332,140264
2024-05-08,6780.37158203125,6859.340969467557,6733.389794569144,6841.34794448207,142821
2024-05-09,6767.376953125,6804.362617418297,6758.380440188793,6780.371916255078,117134
2024-05-15,6632.4287109375,6697.403521217972,6609.437624222871,6680.410109298465,150409
2024-05-16,6630.4296875,6646.423487439695,6584.447512673375,6608.438212582919,183255
2024-05-20,6622.4326171875,6662.417116008255,6525.47020754717,6606.438817659198,220718
2024-05-21,6525.470703125,6638.426920872108,6498.481164371266,6638.426920872108,76541
2024-05-22,6390.52294921875,6557.458242902393,6387.524111607667,6525.470641717504,163650
2024-05-23,6437.50439453125,6441.502844465742,6302.556709242163,6361.533845775913,121764
2024-05-27,6179.6044921875,6597.442518349644,6142.618829584631,6597.442518349644,271390
2024-05-28,6117.62841796875,6257.574166092218,6090.638880830652,6187.601292030484,144875
