Price,Close,High,Low,Open,Volume
Ticker,TEVA.TA,TEVA.TA,TEVA.TA,TEVA.TA,TEVA.TA
Date,,,,,
2024-03-11,4849.0,4898.0,4844.0,4850.0,868222
2024-03-12,4844.0,4905.0,4841.0,4879.0,871774
2024-03-13,4999.0,4999.0,4895.0,4912.0,984852
2024-03-14,4924.0,4998.0,4896.0,4970.0,1435119
2024-03-18,4924.0,4969.0,4876.0,4969.0,825851
2024-03-19,4885.0,4916.0,4851.0,4900.0,996576
2024-03-20,4876.0,4902.0,4863.0,4894.0,768987
2024-03-21,4916.0,4948.0,4850.0,4947.0,1337926
2024-03-25,5086.0,5090.0,5004.0,5019.0,1173054
2024-03-26,5146.0,5165.0,5096.0,5108.0,1025036
2024-03-27,5244.0,5244.0,5147.0,5168.0,962341
2024-03-28,5214.0,5365.0,5179.0,5365.0,3291888
2024-04-01,5191.0,5234.0,5101.0,5173.0,699411
2024-04-02,5106.0,5150.0,5061.0,5132.0,1116600
2024-04-03,5224.0,5224.0,5061.0,5110.0,964897
2024-04-04,5186.0,5222.0,5150.0,5175.0,2061549
2024-04-08,5314.0,5379.0,5279.0,5345.0,1086626
2024-04-09,5153.0,5291.0,5141.0,5249.0,954983
2024-04-10,5222.0,5240.0,5148.0,5187.0,815254
2024-04-11,5211.0,5222.0,5086.0,5180.0,2450253
2024-04-15,4980.0,5108.0,4972.0,5099.0,1520300
2024-04-16,4950.0,5025.0,4948.0,4950.0,1057301
2024-04-17,4950.0,5044.0,4950.0,4988.0,1008493
2024-04-18,4978.0,5023.0,4933.0,5003.0,736987
2024-04-24,4885.0,4950.0,4850.0,4910.0,1186722
2024-04-25,4933.0,4949.0,4900.0,4933.0,1924653
2024-04-30,5272.0,5352.0,5191.0,5255.0,3169937
2024-05-01,5174.0,5240.0,5143.0,5215.0,1324686
2024-05-02,5174.0,5248.0,5143.0,5207.0,8656076
2024-05-06,5207.0,5230.0,5152.0,5160.0,1819547
2024-05-07,5148.0,5245.0,5125.0,5245.0,1865833
2024-05-08,5815.0,5815.0,5155.0,5155.0,5294953
2024-05-09,5870.0,5888.0,5763.0,5870.0,2272050
2024-05-15,6244.0,6297.0,6204.0,6285.0,2234133
2024-05-16,6129.0,6227.0,6103.0,6180.0,1863575
2024-05-20,6171.0,6200.0,6010.0,6066.0,1405843
2024-05-21,6080.0,6219.0,6080.0,6206.0,1066624
2024-05-22,6235.0,6237.0,6017.0,6117.0,1656060
2024-05-23,6185.0,6250.0,6142.0,6215.0,1003446
2024-05-27,6086.0,6129.0,6080.0,6129.0,174639
2024-05-28,6073.0,6131.0,6004.0,6086.0,1258396
2024-05-29,6080.0,6166.0,6046.0,6135.0,768673
2024-05-30,6140.0,6164.0,6030.0,6053.0,1607669
2024-06-03,6310.0,6349.0,6120.0,6244.0,1708421
2024-06-04,6250.0,6272.0,6156.0,6200.0,1083515
2024-06-05,6222.0,6231.0,6129.0,6167.0,1240375
2024-06-06,6298.0,6383.0,6194.0,6196.0,2141263
2024-06-10,6309.0,6317.0,6244.0,6297.0,954703
2024-06-13,6370.0,6372.0,6267.0,6355.0,1244208
2024-06-17,6296.0,6430.0,6296.0,6408.0,1004890
2024-06-18,6355.0,6494.0,6305.0,6400.0,1198378
2024-06-19,6300.0,6379.0,6300.0,6366.0,285561
2024-06-20,6357.0,6357.0,6241.0,6285.0,1781302
2024-06-24,6235.0,6309.0,6182.0,6272.0,810682
2024-06-25,6182.0,6300.0,6112.0,6140.0,656319
2024-06-26,6194.0,6230.0,6123.0,6207.0,782448
2024-06-27,6198.0,6211.0,6116.0,6145.0,3597145
2024-07-01,5981.0,6228.0,5849.0,6117.0,2592552
2024-07-02,6131.0,6195.0,6070.0,6100.0,1184738
2024-07-03,6302.0,6302.0,6181.0,6200.0,957320
2024-07-04,6276.0,6321.0,6258.0,6300.0,602693
2024-07-08,6061.0,6119.0,6041.0,6112.0,645536
2024-07-09,5887.0,6080.0,5853.0,6031.0,1350473
2024-07-10,5929.0,5994.0,5781.0,5850.0,2041410
2024-07-11,6211.0,6247.0,6124.0,6176.0,1454931
2024-07-15,6304.0,6315.0,6230.0,6270.0,1044985
2024-07-16,6281.0,6281.0,6200.0,6208.0,681567
2024-07-17,6065.0,6140.0,6015.0,6088.0,1243784
2024-07-18,6117.0,6153.0,5988.0,6000.0,846441
2024-07-22,6152.0,6176.0,6052.0,6071.0,959670
2024-07-23,6198.0,6198.0,6112.0,6114.0,770698
2024-07-24,6070.0,6177.0,6070.0,6160.0,728782
2024-07-25,6174.0,6174.0,6000.0,6000.0,2660515
2024-07-29,6325.0,6346.0,6204.0,6239.0,1447492
2024-07-30,6188.0,6249.0,6142.0,6236.0,1408295
2024-07-31,6450.0,6665.0,6066.0,6153.0,3200683
2024-08-01,6567.0,6570.0,6473.0,6527.0,6031025
2024-08-05,6225.0,6312.0,6048.0,6255.0,2336340
2024-08-06,6496.0,6499.0,6350.0,6399.0,2062887
2024-08-07,6387.0,6526.0,6367.0,6488.0,1058640
2024-08-08,6483.0,6515.0,6361.0,6387.0,1058718
2024-08-12,6511.0,6542.0,6460.0,6500.0,908119
2024-08-14,6520.0,6678.0,6377.0,6420.0,1343396
2024-08-15,6807.0,6869.0,6643.0,6643.0,1368568
2024-08-19,6682.0,6751.0,6641.0,6731.0,939165
2024-08-20,6678.0,6760.0,6678.0,6728.0,935034
2024-08-21,6798.0,6829.0,6719.0,6719.0,847352
2024-08-22,6764.0,6787.0,6701.0,6720.0,811852
2024-08-26,6795.0,6910.0,6772.0,6860.0,826587
2024-08-27,6840.0,6883.0,6814.0,6861.0,1014974
2024-08-28,6842.0,6910.0,6808.0,6856.0,633002
2024-08-29,6852.0,6871.0,6783.0,6850.0,1986484
2024-09-02,6871.0,6873.0,6823.0,6851.0,210072
2024-09-03,6866.0,6937.0,6838.0,6871.0,918885
2024-09-04,6982.0,7057.0,6811.0,6866.0,847362
2024-09-05,6982.0,6982.0,6982.0,6982.0,0
2024-09-09,6750.0,6796.0,6700.0,6716.0,1514036
2024-09-10,6716.0,6769.0,6677.0,6700.0,670792
2024-09-11,6579.0,6647.0,6563.0,6620.0,578643
2024-09-12,6762.0,6782.0,6701.0,6720.0,586085
2024-09-16,6742.0,6814.0,6720.0,6782.0,1076986
2024-09-17,6630.0,6746.0,6627.0,6705.0,1599076
2024-09-18,6676.0,6732.0,6660.0,6705.0,646454
2024-09-19,6673.0,6817.0,6673.0,6777.0,1628147
2024-09-23,6687.0,6728.0,6639.0,6699.0,711799
2024-09-24,6684.0,6770.0,6650.0,6770.0,827283
2024-09-25,6635.0,6694.0,6585.0,6684.0,704494
2024-09-26,6635.0,6635.0,6635.0,6635.0,0
2024-09-30,6629.0,6660.0,6510.0,6542.0,1050728
2024-10-01,6648.0,6790.0,6592.0,6725.0,1497450
2024-10-07,6600.0,6614.0,6545.0,6613.0,531057
2024-10-08,6564.0,6575.0,6539.0,6575.0,411266
2024-10-09,6540.0,6628.0,6500.0,6598.0,392622
2024-10-10,6629.0,6693.0,6597.0,6693.0,745956
2024-10-14,6480.0,6548.0,6475.0,6520.0,797537
2024-10-15,6693.0,6747.0,6472.0,6505.0,801400
2024-10-21,6829.0,6848.0,6762.0,6809.0,811623
2024-10-22,6890.0,6939.0,6780.0,6939.0,918006
2024-10-28,6810.0,6824.0,6705.0,6820.0,767617
2024-10-29,6880.0,6908.0,6792.0,6824.0,829971
2024-10-30,6880.0,6897.0,6764.0,6885.0,970286
2024-10-31,6860.0,6917.0,6765.0,6913.0,1173543
2024-11-04,6915.0,7039.0,6902.0,6912.0,726946
2024-11-05,6952.0,7020.0,6936.0,7005.0,848770
2024-11-06,6650.0,7323.0,6600.0,7040.0,2042945
2024-11-07,6536.0,6600.0,6515.0,6550.0,3030602
2024-11-11,6526.0,6600.0,6477.0,6506.0,1832203
2024-11-12,6459.0,6600.0,6459.0,6527.0,1117143
2024-11-13,6392.0,6517.0,6392.0,6462.0,927046
2024-11-14,6302.0,6412.0,6270.0,6380.0,1086447
2024-11-18,6082.0,6213.0,6050.0,6199.0,1219160
2024-11-19,6200.0,6214.0,6130.0,6214.0,981048
2024-11-20,6320.0,6356.0,6270.0,6290.0,928189
2024-11-21,6340.0,6380.0,6297.0,6335.0,876415
2024-11-25,6135.0,6355.0,6054.0,6330.0,3284105
2024-11-26,5999.0,6061.0,5957.0,6047.0,2153068
2024-11-27,6041.0,6071.0,5992.0,6001.0,1208159
2024-11-28,5977.0,6041.0,5944.0,6041.0,2118818
2024-12-02,6089.0,6131.0,6064.0,6100.0,694856
2024-12-03,6200.0,6205.0,6028.0,6040.0,723923
2024-12-04,6401.0,6429.0,6283.0,6320.0,1302187
2024-12-05,6370.0,6440.0,6366.0,6434.0,873696
2024-12-09,6100.0,6237.0,6088.0,6230.0,934848
2024-12-10,6288.0,6310.0,6249.0,6250.0,1078008
2024-12-11,6175.0,6265.0,6165.0,6265.0,527923
2024-12-12,6215.0,6310.0,6192.0,6215.0,813708
2024-12-16,5954.0,5983.0,5860.0,5973.0,835023
2024-12-17,7100.0,7300.0,5920.0,5950.0,6856517
2024-12-18,7570.0,7629.0,7300.0,7412.0,3409317
2024-12-19,7712.0,7845.0,7593.0,7600.0,1829928
2024-12-23,7969.0,8160.0,7885.0,8094.0,845487
2024-12-24,8152.0,8199.0,8100.0,8105.0,900568
2024-12-25,8114.0,8184.0,8101.0,8152.0,324957
2024-12-26,8222.0,8222.0,8075.0,8100.0,1649226
2024-12-30,8132.0,8431.0,8046.0,8425.0,1315247
2024-12-31,8101.0,8218.0,8098.0,8115.0,632290
2025-01-01,7950.0,8045.0,7950.0,8040.0,357148
2025-01-02,8025.0,8127.0,7979.0,8008.0,1036266
2025-01-06,7704.0,7864.0,7704.0,7820.0,1030061
2025-01-07,7873.0,7873.0,7704.0,7704.0,1389910
2025-01-08,7917.0,7930.0,7842.0,7873.0,1420394
2025-01-09,7870.0,7940.0,7845.0,7923.0,562782
2025-01-13,7579.0,7869.0,7579.0,7858.0,1063526
2025-01-14,7530.0,7559.0,7424.0,7450.0,1275956
2025-01-15,7793.0,7830.0,7600.0,7627.0,826086
2025-01-16,7842.0,7949.0,7800.0,7894.0,1012111
